time,weaSta_reaWeaTWetBul_y
950400,273.17982803704206
950430,273.17578367103505
950460,273.17180049516685
950490,273.1678780628954
950520,273.1640159257866
950550,273.16021363356646
950580,273.1564707341734
950610,273.1527867738095
950640,273.14916129699117
950670,273.1455938465993
950700,273.1420839639292
950730,273.1386311887389
950760,273.13523505929817
950790,273.1318951124359
950820,273.12861088358767
950850,273.12538190684205
950880,273.12220771498676
950910,273.11908783955437
950940,273.116021810867
950970,273.1130091580807
951000,273.11004940922936
951030,273.1071420912679
951060,273.1042867301151
951090,273.1014828506952
951120,273.09872997698005
951150,273.09602763203
951180,273.093375338034
951210,273.09077261635
951240,273.08821898754434
951270,273.08571397143004
951300,273.08325708710566
951330,273.08084785299275
951360,273.07848578687344
951390,273.0761704059265
951420,273.0739012267643
951450,273.0716777654677
951480,273.06949953762165
951510,273.06736605834953
951540,273.0652768423474
951570,273.06323140391703
951600,273.06122925699964
951630,273.0592699152077
951660,273.0573528918575
951690,273.0554776999997
951720,273.05364385245133
951750,273.0518508618253
951780,273.05009824056077
951810,273.04838550095224
951840,273.0467121551786
951870,273.0450777153314
951900,273.04348169344246
951930,273.0419236015115
951960,273.0404029515326
951990,273.0389192555209
952020,273.03747202553774
952050,273.03606077371654
952080,273.0346850122872
952110,273.03334425360015
952140,273.03203801015076
952170,273.03076579460156
952200,273.02952711980583
952230,273.0283214988292
952260,273.02714844497166
952290,273.02600747178843
952320,273.02489809311095
952350,273.0238198230667
952380,273.0227721760988
952410,273.0217546669857
952440,273.02076681085913
952470,273.0198081232224
952500,273.0188781199681
952530,273.0179763173952
952560,273.01710223222534
952590,273.01625538161915
952620,273.0154352831918
952650,273.0146414550276
952680,273.0138734156952
952710,273.01313068426106
952740,273.01241278030307
952770,273.0117192239236
952800,273.0110495357618
952830,273.01040323700585
952860,273.009779849404
952890,273.0091788952757
952920,273.0085998975219
952950,273.008042379635
952980,273.0075058657083
953010,273.00698988044445
953040,273.0064939491641
953070,273.0060175978137
953100,273.00556035297257
953130,273.0051217418598
953160,273.00470129234037
953190,273.004298532931
953220,273.0039129928052
953250,273.00354420179787
953280,273.0031916904097
953310,273.0028549898105
953340,273.0025336318422
953370,273.00222714902185
953400,273.0019350745432
953430,273.0016569422782
953460,273.00139228677824
953490,273.00114064327437
953520,273.0009015476772
953550,273.0006745365763
953580,273.0004591472389
953610,273.0002549176086
953640,273.00006138630226
953670,272.99987809260824
953700,272.9997045764824
953730,272.9995403785444
953760,272.99938504007326
953790,272.9992381030027
953820,272.9990991099153
953850,272.9989676040364
953880,272.9988431292282
953910,272.9987252299818
953940,272.99861345141016
953970,272.99850733923955
954000,272.998406439801
954030,272.99832131760013
954060,272.99826286673004
954090,272.99823112809236
954120,272.9982261422453
954150,272.9982479494052
954180,272.99829658944816
954210,272.9983721019114
954240,272.99847452599533
954270,272.9986039005645
954300,272.9987602641494
954330,272.9989436549483
954360,272.9991541108284
954390,272.9993916693274
954420,272.9996563676554
954450,272.99994824269595
954480,273.0002673310079
954510,273.00061366882676
954540,273.00098729206644
954570,273.0013882363205
954600,273.0018165368637
954630,273.0022722286536
954660,273.00275534633215
954690,273.00326592422687
954720,273.0038039963526
954750,273.00436959641286
954780,273.00496275780154
954810,273.005583513604
954840,273.0062318965989
954870,273.0069079392594
954900,273.0076116737549
954930,273.00834313195224
954960,273.0091023454172
954990,273.0098893454162
955020,273.0107041629173
955050,273.0115468285922
955080,273.01241737281714
955110,273.0133158256746
955140,273.0142422169549
955170,273.0151965761573
955200,273.0161789324914
955230,273.0171893148791
955260,273.01822775195524
955290,273.0192942720696
955320,273.0203889032882
955350,273.02151167339457
955380,273.02266260989114
955410,273.0238417400007
955440,273.02504909066795
955470,273.0262846885606
955500,273.02754856007107
955530,273.02884073131764
955560,273.03016122814586
955590,273.03151007613
955620,273.03288730057466
955650,273.03429292651555
955680,273.0357269787213
955710,273.03718948169495
955740,273.038680459675
955770,273.04019993663667
955800,273.04174793629386
955830,273.0433244820999
955860,273.04492959724905
955890,273.04656330467816
955920,273.04822562706767
955950,273.04991658684304
955980,273.05163620617634
956010,273.053384506987
956040,273.0551615109441
956070,273.05696723946676
956100,273.0588017137259
956130,273.0606649546457
956160,273.06255698290465
956190,273.06447781893706
956220,273.06642748293444
956250,273.06840599484656
956280,273.070413374383
956310,273.07244964101443
956340,273.0745148139739
956370,273.0766089122582
956400,273.0787319546291
956430,273.08088395961477
956460,273.08306494551096
956490,273.08527493038247
956520,273.0875139320643
956550,273.0897819681631
956580,273.0920790560584
956610,273.09440521290395
956640,273.09676045562884
956670,273.09914480093926
956700,273.1015582653193
956730,273.10400086503245
956760,273.10647261612297
956790,273.1089735344171
956820,273.1115036355245
956850,273.11406293483924
956880,273.11665144754124
956910,273.1192691885979
956940,273.12191617276477
956970,273.12459241458737
957000,273.12729792840213
957030,273.13003272833794
957060,273.1327968283172
957090,273.1355902420574
957120,273.1384129830721
957150,273.1412650646723
957180,273.1441464999679
957210,273.14705730186887
957240,273.14999748308634
957270,273.15296705613423
957300,273.1559660333304
957330,273.15899442679773
957360,273.16205224846567
957390,273.1651395100715
957420,273.16825622316145
957450,273.1714023990919
957480,273.17457804903125
957510,273.17778318396034
957540,273.1810178146744
957570,273.1842819517841
957600,273.1875756057167
957630,273.1908922340057
957660,273.1942248149386
957690,273.1975726348964
957720,273.2009349742073
957750,273.20431110797125
957780,273.2077003068713
957810,273.21110183797305
957840,273.2145149655111
957870,273.2179389516635
957900,273.22137305731366
957930,273.2248165428006
957960,273.2282686686566
957990,273.2317286963332
958020,273.23519588891526
958050,273.23866951182305
958080,273.2421488335029
958110,273.24563312610553
958140,273.2491216661534
958170,273.25261373519606
958200,273.2561086204537
958230,273.25960561544963
958260,273.263104020631
958290,273.2666031439774
958320,273.2701023015995
958350,273.273600818324
958380,273.277098028269
958410,273.28059327540683
958440,273.2840859141155
958470,273.28757530971865
958500,273.2910608390141
958530,273.29454189079036
958560,273.2980178663322
958590,273.30148817991335
958620,273.30495225927916
958650,273.3084095461158
958680,273.3118594965087
958710,273.3153015813887
958740,273.31873528696667
958770,273.32216011515516
958800,273.32557558397923
958830,273.3289812279742
958860,273.3323765985714
958890,273.3357612644717
958920,273.33913481200693
958950,273.34249684548763
958980,273.3458469875399
959010,273.3491848794282
959040,273.3525101813658
959070,273.35582257281254
959100,273.3591217527593
959130,273.3624074399992
959160,273.3656793733861
959190,273.3689373120793
959220,273.3721810357747
959250,273.37541034492256
959280,273.3786250609315
959310,273.38182502635857
959340,273.3850101050853
959370,273.3881801824796
959400,273.39133516554335
959430,273.39447498304594
959460,273.39759958564247
959490,273.400708945978
959520,273.40380305877676
959550,273.406881940916
959580,273.409945631485
959610,273.41299419182894
959640,273.416027705577
959670,273.4190462786551
959700,273.42205003928245
959730,273.42503913795304
959760,273.4280137474003
959790,273.4309740625458
959820,273.4339203004318
959850,273.4368527001371
959880,273.4397715226759
959910,273.44267705088083
959940,273.4455695892678
959970,273.44844946388463
960000,273.45131702214184
960030,273.4541726326268
960060,273.45701668489914
960090,273.45984958926965
960120,273.46267177656046
960150,273.46548369784796
960180,273.46828582418686
960210,273.4710786463167
960240,273.4738626743494
960270,273.47663843743845
960300,273.4794064834301
960330,273.4821673784945
960360,273.4849217067392
960390,273.487670069803
960420,273.49041308643086
960450,273.4931513920294
960480,273.49588563820373
960510,273.49861649227404
960540,273.5013446367731
960570,273.5040707689246
960600,273.5067956001009
960630,273.50951985526194
960660,273.512244272374
960690,273.5149696018084
960720,273.51769660572074
960750,273.52042605740985
960780,273.52315874065727
960810,273.5258954490457
960840,273.5286369852591
960870,273.53138416036063
960900,273.53413779305265
960930,273.5368987089152
960960,273.5396677396252
960990,273.5424457221554
961020,273.54523349795346
961050,273.5480319121012
961080,273.5508418124537
961110,273.5536640487589
961140,273.5564994717575
961170,273.5593489322629
961200,273.562213280222
961230,273.5650873677941
961260,273.56796515089894
961290,273.5708461345179
961320,273.57372982443405
961350,273.5766157272068
961380,273.5795033501459
961410,273.58239220128604
961440,273.5852817893597
961470,273.58817162377136
961500,273.5910612145704
961530,273.5939500724239
961560,273.59683770858993
961590,273.5997236348893
961620,273.6026073636784
961650,273.6054884078207
961680,273.6083662806588
961710,273.61124049598556
961740,273.6141105680157
961770,273.61697601135626
961800,273.6198363409779
961830,273.6226910721848
961860,273.6255397205854
961890,273.6283818020617
961920,273.63121683273977
961950,273.6340443289586
961980,273.63686380723976
962010,273.6396747842559
962040,273.64247677680015
962070,273.64526930175396
962100,273.6480518760558
962130,273.650824016669
962160,273.6535852405498
962190,273.6563350646144
962220,273.65907300570666
962250,273.6617985805651
962280,273.66451130578986
962310,273.6672106978089
