time,hvac_reaAhu_TRet_y
950400,293.1789000242356
950430,293.17889991262734
950460,293.1789034413626
950490,293.1789053144642
950520,293.1789057964931
950550,293.1788962574592
950580,293.1788959786126
950610,293.17889766398224
950640,293.1788981781024
950670,293.1788982846403
950700,293.1788982556107
950730,293.1788981816388
950760,293.17889809290307
950790,293.17889799950143
950820,293.178897904785
950850,293.17889780989714
950880,293.17889771523625
950910,293.17889762086014
950940,293.17889752671465
950970,293.1788974329251
951000,293.17889733939165
951030,293.17889724618317
951060,293.1788971533548
951090,293.17889706075465
951120,293.17889696842445
951150,293.17889687632214
951180,293.1788967845345
951210,293.1788966929873
951240,293.1788966017047
951270,293.17889651070743
951300,293.17889641996453
951330,293.17889632943513
951360,293.178896239139
951390,293.1788961489753
951420,293.178896059074
951450,293.17889596937954
951480,293.17889587986224
951510,293.178895790471
951540,293.1788957012402
951570,293.1788956121331
951600,293.1788955231837
951630,293.1788954343331
951660,293.1788953455795
951690,293.17889525685626
951720,293.178895168229
951750,293.1788950796055
951780,293.1788949909992
951810,293.1788949024217
951840,293.1788948092702
951870,293.17889471441595
951900,293.178894618768
951930,293.17889452269645
951960,293.1788944262478
951990,293.1788943294338
952020,293.1788942322649
952050,293.1788941346592
952080,293.178894036765
952110,293.1788939384748
952140,293.17889383976353
952170,293.1788937406057
952200,293.17889364102234
952230,293.17889354093427
952260,293.17889344029044
952290,293.17889333911745
952320,293.17889323746135
952350,293.1788931352643
952380,293.17889303246665
952410,293.17889292904897
952440,293.1788928249788
952470,293.17889272028316
952500,293.17889261492144
952530,293.1788925088551
952560,293.17889240197223
952590,293.1788922943396
952620,293.1788921859702
952650,293.1788920767887
952680,293.17889196670086
952710,293.1788918556734
952740,293.17889174378803
952770,293.1788916308824
952800,293.1788915170267
952830,293.1788914022217
952860,293.17889128646175
952890,293.1788911696361
952920,293.1788910516323
952950,293.17889093251074
952980,293.178890812247
953010,293.1788906907555
953040,293.17889056798066
953070,293.17889044394855
953100,293.17889031864075
953130,293.1788901920019
953160,293.17889006405335
953190,293.17888993469995
953220,293.17888980391047
953250,293.17888967168346
953280,293.1788895379968
953310,293.1788894027525
953340,293.17888926597897
953370,293.17888912782496
953400,293.17888898830824
953430,293.1788888475305
953460,293.17888870557437
953490,293.1788885624138
953520,293.1788884180218
953550,293.1788882723331
953580,293.1788881253873
953610,293.17888797715125
953640,293.17888782686373
953670,293.17888767481696
953700,293.17888752114493
953730,293.1788873658653
953760,293.1788872091167
953790,293.1788870508291
953820,293.1788868910077
953850,293.17888672968763
953880,293.17888656680725
953910,293.17888640248356
953940,293.1788862366132
953970,293.1788860693998
954000,293.1788859007558
954030,293.1788856580544
954060,293.17888536429865
954090,293.17888513812846
954120,293.1788943381838
954150,293.1788973034311
954180,293.17889523576883
954210,293.17889163124255
954240,293.17888765744624
954270,293.1788835197226
954300,293.1788793010933
954330,293.1788750470524
954360,293.1788707712053
954390,293.1788664764761
954420,293.17886216392833
954450,293.17885783363636
954480,293.1788534854464
954510,293.1788491192097
954540,293.17884473465864
954570,293.17884033144327
954600,293.17883590939346
954630,293.1788314679945
954660,293.17882700726636
954690,293.17882252673047
954720,293.17881802607593
954750,293.1788135054145
954780,293.17880896383434
954810,293.178804401
954840,293.1787998070972
954870,293.1787951808956
954900,293.1787905285248
954930,293.1787858527831
954960,293.17878115418176
954990,293.1787764320866
955020,293.1787716867425
955050,293.1787669177499
955080,293.1787621254125
955110,293.1787573087546
955140,293.17875246810064
955170,293.1787476030411
955200,293.1787427134168
955230,293.17873779900276
955260,293.1787328595723
955290,293.1787278950688
955320,293.1787229049521
955350,293.1787178894614
955380,293.1787128480613
