time,hvac_reaZonNor_TZon_y
950400,292.3566061567926
950430,292.35603617409765
950460,292.35546952526175
950490,292.3549059956601
950520,292.35434493060086
950550,292.3537859445499
950580,292.35322840706056
950610,292.35267187583145
950640,292.352115964519
950670,292.35156041861563
950700,292.3510050161176
950730,292.3504495752682
950760,292.34989395827563
950790,292.34933806899954
950820,292.34878184865426
950850,292.34822527100624
950880,292.34766833762774
950910,292.34711107342946
950940,292.34655352255913
950970,292.3459957446971
951000,292.3454378117517
951030,292.3448798049424
951060,292.3443218122507
951090,292.34376392621283
951120,292.34320624202667
951150,292.3426488559451
951180,292.34209186392485
951210,292.3415353605045
951240,292.34097943788476
951270,292.3404241851871
951300,292.33986968786587
951330,292.33931602725545
951360,292.3387632802324
951390,292.33821151897575
951420,292.33766081081114
951450,292.33711121812445
951480,292.3365627983343
951510,292.3360156039123
951540,292.3354696824435
951570,292.33492507671673
951600,292.33438182484207
951630,292.3338399603861
951660,292.3332995125228
951690,292.3327605061935
951720,292.33222296227575
951750,292.33168689775476
951780,292.33115232589716
951810,292.3306192564252
951840,292.3300876956825
951870,292.3295576468193
951900,292.32902910994505
951930,292.32850208228984
951960,292.32797655836083
951990,292.3274525300909
952020,292.32692998698275
952050,292.32640891624555
952080,292.3258893029257
952110,292.3253711300316
952140,292.3248543786518
952170,292.3243390280673
952200,292.32382505585747
952230,292.3233124380005
952260,292.3228011489683
952290,292.3222911618156
952320,292.3217824482644
952350,292.32127497878315
952380,292.3207687226611
952410,292.32026364807837
952440,292.31975972217157
952470,292.31925691109575
952500,292.31875518008206
952530,292.31825449349225
952560,292.3177548148692
952590,292.3172561069847
952620,292.31675833188183
952650,292.3162614509174
952680,292.315765424802
952710,292.31527021363786
952740,292.3147757769537
952770,292.3142820737363
952800,292.31378906246067
952830,292.31329670111813
952860,292.31280494724234
952890,292.3123137579334
952920,292.3118230898812
952950,292.3113328993871
952980,292.3108431423833
953010,292.31035377445227
953040,292.3098647508437
953070,292.30937602649186
953100,292.3088875560299
953130,292.3083992938052
953160,292.30791119389255
953190,292.3074232101063
953220,292.30693529601297
953250,292.3064474049418
