time,hvac_reaZonEas_TZon_y
950400,292.5498169859482
950430,292.5491529121174
950460,292.54849582849954
950490,292.5478458403483
950520,292.5472022424873
950550,292.5465645648708
950580,292.54593202836173
950610,292.54530404491607
950640,292.54468008010593
950670,292.54405976340996
950700,292.54344275290475
950730,292.5428287465635
950760,292.5422174887196
950790,292.54160876851864
950820,292.5410024156867
950850,292.54039829555717
950880,292.5397963040932
950910,292.5391963631992
950940,292.53859841643686
950970,292.53800242518616
951000,292.53740836525265
951030,292.5368162239073
951060,292.53622599732824
951090,292.53563768841406
951120,292.53505130493136
951150,292.5344668579625
951180,292.53388436061704
951210,292.53330382697305
951240,292.5327252712204
951270,292.53214870697593
951300,292.5315741467451
951330,292.53100160150797
951360,292.5304310804114
951390,292.5298625905471
951420,292.52929613680254
951450,292.52873172177055
951480,292.5281693457077
951510,292.5276090065301
951540,292.52705069984086
951570,292.5264944189791
951600,292.52594015508913
951630,292.5253878972015
951660,292.52483763232357
951690,292.52428934553564
951720,292.52374302009173
951750,292.5231986375209
951780,292.5226561777276
951810,292.5221156190923
951840,292.5215769385589
951870,292.52104011175345
951900,292.52050511305407
951930,292.5199719156792
951960,292.5194404917701
951990,292.51891081246777
952020,292.5183828479848
952050,292.51785656767356
952080,292.5173319400883
952110,292.51680893304433
952140,292.51628751367264
952170,292.5157676484701
952200,292.51524930334574
952230,292.51473244366406
952260,292.5142170342841
952290,292.51370303959646
952320,292.51319042355607
952350,292.51267914971294
952380,292.5121691812403
952410,292.5116604809589
952440,292.51115301135894
952470,292.5106467346208
952500,292.51014161263396
952530,292.5096376070147
952560,292.5091346791225
952590,292.5086327900748
952620,292.5081319007581
952650,292.50763197184045
952680,292.50713296378456
952710,292.50663483685855
952740,292.5061375511465
952770,292.50564106655503
952800,292.50514534282104
952830,292.50465033951883
952860,292.50415601606454
952890,292.5036623317219
952920,292.5031692456066
952950,292.5026767166916
952980,292.50218470380975
953010,292.50169316565785
953040,292.50120206079976
953070,292.50071134766966
953100,292.5002209845741
953130,292.4997309296954
953160,292.49924114109336
953190,292.49875157670726
953220,292.49826219435886
953250,292.4977729517537
953280,292.49728380648355
953310,292.4967947160279
953340,292.496305637756
953370,292.495816528929
953400,292.4953273467017
953430,292.4948380481253
953460,292.49434859014906
953490,292.4938589296225
953520,292.49336902329856
953550,292.49287882783585
953580,292.49238829980277
953610,292.4918973956804
953640,292.4914060718644
953670,292.49091428467517
953700,292.4904219903594
953730,292.48992914509614
953760,292.489435705005
953790,292.48894162615477
953820,292.48844686457403
953850,292.48795137626377
953880,292.4874551172126
953910,292.48695804341736
953940,292.48646011090653
953970,292.48596127577235
954000,292.4854614942119
954030,292.4849607989403
954060,292.4844592263193
954090,292.4839567346402
954120,292.483453306829
954150,292.4829488946844
954180,292.48244350551926
954210,292.4819371688447
954240,292.4814299264512
954270,292.4809218404647
954300,292.4804129885533
954330,292.4799033630707
954360,292.47939296569353
954390,292.4788818180472
954420,292.4783699576303
954450,292.4778574328343
954480,292.47734429908434
954510,292.4768306160927
954540,292.47631644592735
954570,292.4758018516499
954600,292.47528689634794
954630,292.47477164244606
954660,292.47425615121807
954690,292.47374048244814
954720,292.47322469419805
954750,292.4727088426611
954780,292.4721929820736
954810,292.4716771646738
954840,292.4711614406814
954870,292.4706458583477
954900,292.47013046399394
954930,292.46961530203794
954960,292.46910041505924
954990,292.46858584387246
955020,292.4680716275992
955050,292.4675578037426
955080,292.46704440826176
955110,292.46653147564643
955140,292.4660190389891
955170,292.46550713005706
955200,292.46499577936135
955230,292.4644850162217
955260,292.46397486883393
955290,292.4634653643263
955320,292.46295652882236
955350,292.4624483874931
955380,292.46194096461204
955410,292.4614342836041
955440,292.4609283667276
955470,292.4604232372883
955500,292.4599189145897
955530,292.45941541988634
955560,292.4589127731067
955590,292.4584109934457
955620,292.45791009956355
955650,292.45741010960234
955680,292.45691104120226
955710,292.4564129115291
955740,292.45591573729735
955770,292.45541953479943
955800,292.45492431992517
955830,292.4544301081866
