time,hvac_reaAhu_TSup_y
950400,285.12665837255594
950430,285.12665836574854
950460,285.1266606737075
950490,285.12666192833507
950520,285.1266622980005
950550,285.126656297851
950580,285.1266561830365
950610,285.1266573174027
950640,285.12665770670736
950670,285.126657836545
950700,285.12665787993893
950730,285.12665789454377
950760,285.12665789954525
950790,285.12665790139283
950820,285.1266579022173
950850,285.1266579027634
950880,285.126657903275
950910,285.12665790381385
950940,285.12665790436904
950970,285.1266579049967
951000,285.1266579056835
951030,285.1266579064557
951060,285.1266579073637
951090,285.1266579083241
951120,285.1266579093565
951150,285.12665791046715
951180,285.12665791169525
951210,285.1266579130019
951240,285.12665791446153
951270,285.12665791604155
951300,285.126657917726
951330,285.12665791955146
951360,285.1266579215215
951390,285.12665792360684
951420,285.1266579258357
951450,285.12665792822287
951480,285.12665793075496
951510,285.1266579334057
951540,285.1266579361813
951570,285.1266579390931
951600,285.12665794216355
951630,285.12665794539566
951660,285.12665794877535
951690,285.1266579522873
951720,285.1266579559723
951750,285.12665795979
951780,285.1266579637713
951810,285.1266579679149
951840,285.1266579693104
951870,285.1266579697756
951900,285.1266579699164
951930,285.12665796999977
951960,285.1266579700557
951990,285.1266579700887
952020,285.1266579701017
952050,285.12665797007656
952080,285.1266579701255
952110,285.12665797018633
952140,285.1266579702745
952170,285.1266579703522
952200,285.1266579704707
952230,285.12665797058673
952260,285.12665797066876
952290,285.1266579707841
952320,285.1266579709569
952350,285.1266579711458
952380,285.12665797131393
952410,285.1266579714805
952440,285.12665797165033
952470,285.12665797186054
952500,285.1266579721084
952530,285.1266579723649
952560,285.12665797257506
952590,285.1266579728037
952620,285.12665797306994
952650,285.12665797332687
952680,285.1266579735593
952710,285.12665797377497
952740,285.1266579740071
952770,285.12665797417236
952800,285.1266579743732
952830,285.12665797457214
952860,285.1266579747991
952890,285.12665797502933
952920,285.12665797520276
952950,285.1266579753553
952980,285.12665797549386
953010,285.1266579755884
953040,285.12665797563864
953070,285.12665797568235
953100,285.1266579757166
953130,285.126657975743
953160,285.12665797578484
953190,285.1266579758154
953220,285.1266579758334
953250,285.12665797585197
953280,285.1266579758644
953310,285.12665797586135
953340,285.126657975868
953370,285.12665797595224
953400,285.12665797603023
953430,285.12665797612476
953460,285.1266579762969
953490,285.1266579765366
953520,285.12665797686736
953550,285.1266579772575
953580,285.12665797773525
953610,285.12665797833273
953640,285.126657978571
953670,285.1266579786611
953700,285.12665797871773
953730,285.12665797877395
953760,285.12665797894056
953790,285.1266579791993
953820,285.12665797958346
953850,285.12665798013893
953880,285.1266579808467
953910,285.1266579818099
953940,285.12665798300134
953970,285.1266579845821
954000,285.1266579865102
954030,285.12665794264854
954060,285.126657867179
954090,285.1266578349358
954120,285.12666375706044
954150,285.12666574174267
954180,285.12666454904394
954210,285.1266623864516
954240,285.12665999124926
954270,285.1266574931667
954300,285.12665494457184
954330,285.12665237423465
954360,285.1266497907601
954390,285.12664719596467
954420,285.12664459055685
954450,285.12664197452096
954480,285.126639347839
954510,285.12663671037325
954540,285.12663406195287
954570,285.12663140241915
954600,285.12662873154693
954630,285.1266260491657
954660,285.12662335516256
954690,285.1266206492693
954720,285.1266179313908
954750,285.12661520141995
954780,285.12661245896857
954810,285.1266097036714
954840,285.12660692944957
954870,285.1266041354678
954900,285.126601325567
954930,285.1265985015949
954960,285.1265956638799
954990,285.1265928118893
955020,285.1265899459409
955050,285.1265870656972
955080,285.1265841714068
955110,285.12658126234663
955140,285.1265783388702
955170,285.12657540057836
955200,285.126572447431
955230,285.12656947938416
955260,285.12656649614064
955290,285.12656349775847
955320,285.1265604838406
955350,285.12655745458727
955380,285.1265544096262
955410,285.1265513490391
955440,285.12654811714987
955470,285.12654520171196
955500,285.1265420354958
955530,285.1265388480219
955560,285.1265356657182
955590,285.1265324738184
955620,285.12652926680755
955650,285.1265260435057
955680,285.1265228035724
955710,285.1265195467802
955740,285.1265162730361
955770,285.12651298211205
955800,285.12650967400725
955830,285.12650634867674
955860,285.12650300607675
955890,285.1264996459533
955920,285.12649626822065
955950,285.1264928731135
955980,285.12648946014485
956010,285.12648602964225
956040,285.12648258116826
956070,285.12647911500073
956100,285.1264756307678
956130,285.1264721286388
956160,285.126468608452
956190,285.12646507007696
956220,285.12646151375054
956250,285.1264579390528
956280,285.126454346077
956310,285.12645073498453
956340,285.1264471054032
956370,285.12644345737897
956400,285.1264397911421
956430,285.1264361063068
956460,285.12643240295296
956490,285.12642868115887
