time,hvac_reaZonWes_TZon_y
950400,292.2577023768709
950430,292.2569405385482
950460,292.2561980517143
950490,292.25547357963535
950520,292.25476354060737
950550,292.25406606171714
950580,292.25337815657156
950610,292.25269815087336
950640,292.2520246584379
950670,292.2513568036454
950700,292.2506938417547
950730,292.2500351663505
950760,292.24938030609167
950790,292.2487289043084
950820,292.248080696256
950850,292.24743548868594
950880,292.24679314280456
950910,292.24615356049827
950940,292.2455166733666
950970,292.24488243406705
951000,292.24425080952665
951030,292.24362177565047
951060,292.2429953132231
951090,292.24237140476043
951120,292.2417500321165
951150,292.2411311746888
951180,292.24051480809794
951210,292.2399009032391
951240,292.2392894256294
951270,292.2386803349839
951300,292.2380735849703
951330,292.2374691231021
951360,292.23686689073685
951390,292.2362668231548
951420,292.23566884969586
951450,292.23507289394
951480,292.2344788739178
951510,292.2338867023397
951540,292.2332962868387
951570,292.2327075302193
951600,292.2321203307082
951630,292.23153458220185
951660,292.23095017450913
951690,292.2303669935867
951720,292.2297849217671
951750,292.229203837977
951780,292.22862361794586
951810,292.22804413440474
951840,292.2274652572684
951870,292.22688685383133
951900,292.22630878892227
951930,292.22573092506445
951960,292.2251531226266
951990,292.2245752399627
952020,292.2239971335448
952050,292.2234186580863
952080,292.2228396666577
952110,292.2222600107955
952140,292.22167954060393
952170,292.22109810485
952200,292.22051555105236
952230,292.21993172556455
952260,292.219346473653
952290,292.21875963956967
952320,292.2181710666205
952350,292.2175805972303
952380,292.21698807300123
952410,292.21639333476827
952440,292.2157962226515
952470,292.21519657610446
952500,292.2145942339606
952530,292.21398903447556
952560,292.21338081536726
952590,292.2127694138539
952620,292.21215466668525
952650,292.21153641017713
952680,292.21091448024464
952710,292.210288712433
952740,292.20965894194563
952770,292.20902500366947
952800,292.20838673219913
952830,292.2077439618599
952860,292.20709652672855
952890,292.2064442606538
952920,292.20578699727537
952950,292.20512457004247
952980,292.20445681223066
953010,292.2037835569581
953040,292.20310463720097
953070,292.2024198858087
953100,292.201729135517
953130,292.201032218962
953160,292.2003289686923
953190,292.19961921718095
953220,292.1989027968373
953250,292.19817954001763
953280,292.19744927903594
953310,292.19671184617334
953340,292.19596707368794
953370,292.1952147938238
953400,292.1944548388199
953430,292.1936870409186
953460,292.19291123237326
953490,292.1921272454563
953520,292.19133491246635
953550,292.1905340657356
953580,292.18972453763683
953610,292.18890616058985
953640,292.1880787670662
953670,292.18724218959943
953700,292.18639626078783
953730,292.18554081330086
953760,292.18467567988444
953790,292.1838006933667
953820,292.1829156866633
