time,hvac_reaZonNor_CO2Zon_y
950400,616.9673378164822
950430,616.9224232349567
950460,616.8780873624239
950490,616.8344226563581
950520,616.7914807867829
950550,616.7492822872974
950580,616.7078636261115
950610,616.6672492711203
950640,616.6274619777913
950670,616.5885177829782
950700,616.5504313058516
950730,616.5132152215225
950760,616.4768799081955
950790,616.4414334305483
950820,616.4068816406834
950850,616.3732283187604
950880,616.3404753248483
950910,616.3086227511184
950940,616.2776690699108
950970,616.2476112756639
951000,616.2184450197344
951030,616.1901647376757
951060,616.1627637687857
951090,616.1362344679462
951120,616.1105683098923
951150,616.085755986133
951180,616.061787494804
951210,616.0386522237476
951240,616.016339027197
951270,615.9948362963992
951300,615.9741320245134
951330,615.9542138661681
951360,615.9350691920099
951390,615.9166851385718
951420,615.8990486537903
951450,615.8821465384675
951480,615.865965483983
951510,615.8504921065146
951540,615.8357129780384
951570,615.8216146543348
951600,615.8081837002527
951630,615.7954067124232
951660,615.783270339627
951690,615.7717613009952
951720,615.7608664022345
951750,615.7505725500131
951780,615.7408667646556
951810,615.7317361913186
951840,615.7231681096225
951870,615.7151499423704
951900,615.7076692625959
951930,615.7007137997532
951960,615.6942714449079
951990,615.6883302549968
952020,615.682878456274
952050,615.6779044469877
952080,615.6733967993795
952110,615.6693442610564
952140,615.6657357558043
952170,615.662560383884
952200,615.6598074218647
952230,615.6574663220441
952260,615.6555267114917
952290,615.6539783907627
952320,615.6528113323028
952350,615.6520156785919
952380,615.6515817400474
952410,615.6514999927166
952440,615.6517610757827
952470,615.6523557889185
952500,615.6532750894897
952530,615.6545100896438
952560,615.6560520532892
952590,615.6578923929952
952620,615.6600226661649
952650,615.6624345717818
952680,615.6651199474783
952710,615.6680707664502
952740,615.6712791342432
952770,615.6747372854336
952800,615.6784375802828
952830,615.682372501392
952860,615.6865346503333
952890,615.6909167443106
952920,615.6955116128353
952950,615.7003121944375
952980,615.7053115333822
953010,615.7105027764417
953040,615.7158791696908
953070,615.7214340553533
953100,615.7271608686754
953130,615.7330531348607
953160,615.7391044660395
953190,615.745308558284
953220,615.7516591886913
953250,615.7581502124967
953280,615.7647755602508
