time,hvac_reaZonSou_CO2Zon_y
950400,598.745155655883
950430,599.0454483018901
950460,599.3387882236686
950490,599.6244666750282
950520,599.9024383257268
950550,600.1727725368813
950580,600.4356320863719
950610,600.6911744605331
950640,600.9395785060751
950670,601.1809972651145
950700,601.41559586239
950730,601.6435466624146
950760,601.8650248449045
950790,602.0802061850782
950820,602.2892657131067
950850,602.4923767915905
950880,602.689710436893
950910,602.8814348078384
950940,603.0677148205754
950970,603.2487118627654
951000,603.4245835873261
951030,603.5954837702652
951060,603.7615622201355
951090,603.9229647289851
951120,604.079833056543
951150,604.2323049408799
951180,604.3805141300263
951210,604.5245904300261
951240,604.664659765775
951270,604.8008442516393
951300,604.9332622693945
951330,605.0620285515379
951360,605.1872542683617
951390,605.309047117482
951420,605.4275114147941
951450,605.5427481860025
951480,605.6548552580803
951510,605.7639273501063
951540,605.8700561630823
951570,605.9733304683873
951600,606.0738361946436
951630,606.1716565127915
951660,606.2668719192359
951690,606.3595603169679
951720,606.4497970946078
951750,606.5376552033165
951780,606.6232052315546
951810,606.7065154777157
951840,606.7876520205206
951870,606.8666787876407
951900,606.9436576218176
951930,607.018648345148
951960,607.0917088213664
951990,607.1628950161536
952020,607.2322610555559
952050,607.2998592825367
952080,607.3657403117318
952110,607.42995308245
952140,607.4925449099763
952170,607.5535615352226
952200,607.6130471727785
952230,607.6710445574147
952260,607.7275949890819
952290,607.7827383764685
952320,607.8365132791355
952350,607.888956948304
952380,607.9401053663211
952410,607.9899932848499
952440,608.0386542618277
952470,608.0861206972413
952500,608.1324238677402
952530,608.1775939601388
952560,608.2216601038414
952590,608.264650402224
952620,608.3065919627255
952650,608.3475109262331
952680,608.3874324956843
952710,608.4263809637064
952740,608.464379739341
952770,608.5014513738674
952800,608.5376175857976
952830,608.5728992850821
952860,608.6073165965146
952890,608.6408888824092
952920,608.6736347645499
952950,608.705572145452
952980,608.7367182289274
953010,608.7670895400147
953040,608.7967019442673
953070,608.8255706664401
953100,608.8537103085692
953130,608.881134867496
953160,608.9078577518251
953190,608.9338917983428
953220,608.9592492879365
953250,608.983941960989
953280,609.0079810322991
953310,609.0313772055255
953340,609.0541406871739
953370,609.0762812001544
953400,609.0978079968928
953430,609.1187298720486
953460,609.139055174815
953490,609.1587918208354
953520,609.1779473037509
953550,609.1965287063716
953580,609.2145427115114
953610,609.2319956124654
953640,609.2488933231464
953670,609.2652413879539
953700,609.2810449912695
953730,609.2963089666737
953760,609.3110378058751
953790,609.3252356673555
953820,609.3389063847374
953850,609.3520534748816
953880,609.3646801457311
953910,609.3767893039053
953940,609.3883835620445
953970,609.3994652459243
954000,609.410036401336
954030,609.4200996536558
954060,609.4296598685468
954090,609.4387237254588
954120,609.4472983684625
954150,609.4553903343003
954180,609.463006367181
954210,609.4701531125643
954240,609.4768369993741
954270,609.4830642673003
954300,609.4888409851242
954330,609.4941730541839
954360,609.4990662109916
954390,609.5035260305989
954420,609.5075579300213
954450,609.5111671716616
954480,609.5143588668138
954510,609.5171379792606
954540,609.5195093288858
954570,609.5214775953162
954600,609.52304732157
954630,609.5242229176886
954660,609.5250086643399
954690,609.5254087164108
954720,609.5254271065095
954750,609.5250677484781
954780,609.5243344407943
954810,609.5232308699553
954840,609.5217606138002
954870,609.5199271452664
954900,609.5177338356613
954930,609.5151839575365
954960,609.5122806877577
954990,609.5090271105224
955020,609.505426220251
955050,609.5014809244142
955080,609.4971940462763
955110,609.4925683275826
955140,609.4876064311507
955170,609.4823109434238
955200,609.4766843769381
955230,609.4707291727083
955260,609.4644477026021
955290,609.4578422715655
955320,609.4509151198785
955350,609.4436684252671
955380,609.4361043050197
955410,609.428224818001
955440,609.4200319663134
955470,609.4115277112717
955500,609.4027139274508
955530,609.3935924664761
955560,609.3841651243731
955590,609.3744336485034
955620,609.3643997408292
955650,609.3540650593552
955680,609.3434312195619
955710,609.3324997959168
955740,609.3212723233129
