time,hvac_reaZonWes_CO2Zon_y
950400,603.8923489036471
950430,603.8518353836736
950460,603.8127099843426
950490,603.7750944932143
950520,603.7389793314867
950550,603.704343764658
950580,603.6711481291557
950610,603.6393608930458
950640,603.6089487603824
950670,603.5798846240727
950700,603.5521398342481
950730,603.5256848149351
950760,603.5004896118124
950790,603.4765240740726
950820,603.4537579311416
950850,603.43216084646
950880,603.411702471398
950910,603.3923525034979
950940,603.3740807477752
950970,603.3568571786793
951000,603.3406520005241
951030,603.3254357047355
951060,603.3111791227465
951090,603.2978534738306
951120,603.2854304074931
951150,603.2738820403027
951180,603.263180987217
951210,603.2533003875797
951240,603.2442139261062
951270,603.2358958491792
951300,603.2283209768076
951330,603.2214647106663
951360,603.2153030386004
951390,603.2098125359556
951420,603.2049703641217
951450,603.2007542666148
951480,603.1971425630419
951510,603.1941141412284
951540,603.1916484477989
951570,603.1897254774367
951600,603.1883257610831
951630,603.1874303532506
951660,603.187020818645
951690,603.1870792182441
951720,603.1875880950068
951750,603.188530459303
951780,603.1898897741809
951810,603.191649940601
951840,603.1937952825604
951870,603.19631053271
951900,603.1991808176266
951930,603.202391643526
951960,603.2059288822162
951990,603.209778757311
952020,603.2139278307624
952050,603.2183629897128
952080,603.2230714337002
952110,603.228040662223
952140,603.2332584626802
952170,603.238712898681
952200,603.2443922987339
952230,603.2502852453139
952260,603.2563805643089
952290,603.2626673148441
952320,603.2691347794655
952350,603.2757724546931
952380,603.2825700419271
952410,603.2895174386979
952440,603.2966047302571
952470,603.3038221815033
952500,603.311160229221
952530,603.3186094746326
952560,603.3261606762463
952590,603.3338047429997
952620,603.341532726562
952650,603.3493358150316
952680,603.3572053275287
952710,603.3651327088106
952740,603.3731095239202
952770,603.3811274529221
952800,603.3891782858097
952830,603.3972539176231
952860,603.4053463437327
952890,603.4134476553407
952920,603.4215500351646
952950,603.4296457533167
952980,603.4377271633365
953010,603.4457866984123
953040,603.4538168677525
953070,603.4618102531217
953100,603.469759505511
953130,603.4776573419682
953160,603.4854965425477
953190,603.4932699473935
953220,603.5009704539615
953250,603.5085910143433
953280,603.5161246327145
953310,603.5235643628876
953340,603.530903305969
953370,603.5381346081285
953400,603.5452514584478
953430,603.5522470868814
953460,603.5591147622882
953490,603.5658477905552
953520,603.5724395128078
953550,603.5788833036905
953580,603.5851725697358
953610,603.5913007477909
953640,603.5972613034979
953670,603.6030477299174
953700,603.6086535461253
953730,603.614072295911
953760,603.6192975465327
953790,603.6243228875342
953820,603.629141929612
953850,603.6337483035321
953880,603.6381356591019
953910,603.6422976641951
953940,603.646228003815
953970,603.6499203792108
954000,603.653368507034
954030,603.6565735647242
954060,603.6595460744683
954090,603.6622982127682
954120,603.6648414260959
954150,603.6671849987513
954180,603.6693371160029
954210,603.6713046843541
954240,603.6730934527379
954270,603.6747082325053
954300,603.6761530738813
954330,603.6774313949453
954360,603.6785460842233
954390,603.6794995841337
954420,603.6802939589463
954450,603.6809309505768
954480,603.6814120248763
954510,603.6817384103807
954540,603.68191113095
954570,603.6819310334809
954600,603.6817988115879
954630,603.6815150259532
954660,603.6810801219065
954690,603.6804944447133
954720,603.679758252859
954750,603.6788717297327
954780,603.6778349938364
954810,603.6766481077967
954840,603.6753110861657
954870,603.6738239028413
954900,603.6721864973242
954930,603.6703987799568
954960,603.6684606368506
954990,603.6663719342944
955020,603.6641325226209
955050,603.6617422396525
955080,603.659200913755
955110,603.6565083665677
955140,603.6536644154047
955170,603.6506688754192
955200,603.6475215615072
955230,603.6442222899846
955260,603.6407708801229
955290,603.6371671554274
955320,603.63341094486
955350,603.6295020838362
955380,603.6254404151651
955410,603.6212257898349
955440,603.61685806176
955470,603.6123371186525
955500,603.6076628189275
955530,603.6028350609756
955560,603.5978537465656
955590,603.5927187871997
955620,603.5874301062395
955650,603.5819876389868
955680,603.5763913327482
955710,603.5706411469948
955740,603.5647370534582
955770,603.5586790362913
