time,hvac_reaZonCor_CO2Zon_y
950400,614.3011527003354
950430,614.2689163492704
950460,614.2378572983722
950490,614.2080888588947
950520,614.1796084956393
950550,614.1523982279542
950580,614.1264196342388
950610,614.1016367934308
950640,614.0780103482005
950670,614.0555076348326
950700,614.0340941316356
950730,614.0137345466723
950760,613.9943937659409
950790,613.9760372894748
950820,613.9586314625075
950850,613.9421436105064
950880,613.9265421200577
950910,613.911796484414
950940,613.8978773239213
950970,613.8847563879048
951000,613.8724065427482
951030,613.860801749793
951060,613.8499170358457
951090,613.8397284585016
951120,613.8302130680113
951150,613.8213488670285
951180,613.8131147692833
951210,613.8054905579468
951240,613.7984568443331
951270,613.7919950273682
951300,613.7860872541243
951330,613.7807163816836
951360,613.7758659404839
951390,613.7715200992155
951420,613.7676636313439
951450,613.7642818832536
951480,613.7613607440227
951510,613.7588866167761
951540,613.7568463915891
951570,613.7552274198658
951600,613.7540174901612
951630,613.7532048053547
951660,613.7527779611197
951690,613.7527259256059
951720,613.7530380203006
951750,613.7537039019644
951780,613.7547135455874
951810,613.7560572283373
951840,613.7577255142573
951870,613.7597092402922
951900,613.7619995025116
951930,613.76458764337
951960,613.7674652396552
951990,613.7706240910683
952020,613.774056209432
952050,613.777753808458
952080,613.7817092940587
952110,613.7859152551629
952140,613.7903644550098
952170,613.7950498228804
952200,613.7999644462438
952230,613.8051015632973
952260,613.8104545558704
952290,613.8160169426836
952320,613.8217823729175
952350,613.8277446200948
952380,613.8338975762497
952410,613.8402352463596
952440,613.8467517430366
952470,613.8534412814629
952500,613.8602981745461
952530,613.8673168282909
952560,613.8744917373691
952590,613.8818174808875
952620,613.8892886987664
952650,613.896900112467
952680,613.9046465261674
952710,613.9125228165415
952740,613.9205239271092
952770,613.9286448641909
952800,613.9368806935088
952830,613.9452265370935
952860,613.9536775703413
952890,613.9622290192199
952920,613.9708761575836
952950,613.9796143046054
952980,613.98843882228
953010,613.9973451130436
953040,614.0063286174716
953070,614.0153848120685
953100,614.024509207127
953130,614.0336973446792
953160,614.042944796512
953190,614.0522471622482
953220,614.0616000675182
953250,614.0709991621721
953280,614.0804401185694
953310,614.0899186299202
953340,614.0994304086857
953370,614.1089711850434
953400,614.1185367053872
953430,614.1281227309014
953460,614.1377250361644
953490,614.147339407804
953520,614.1569616432057
953550,614.1665875492569
953580,614.1762129411426
953610,614.1858336411706
953640,614.1954454776172
953670,614.2050442836932
953700,614.2146258964477
953730,614.2241861557493
953760,614.2337209033017
953790,614.2432259816906
953820,614.2526972334649
953850,614.2621305002397
953880,614.2715216218357
953910,614.2808664354508
953940,614.290160774848
953970,614.2994004695831
954000,614.3085813442451
954030,614.3176993264753
954060,614.3267506143977
954090,614.3357317383486
954120,614.3446398037191
954150,614.3534715272813
954180,614.3622243292059
954210,614.3708958979636
954240,614.3794840309871
954270,614.3879866441256
954300,614.3964017721984
954330,614.4047275544655
954360,614.4129622209304
954390,614.4211040812858
954420,614.4291515157071
954450,614.4371029671589
