time,hvac_reaZonNor_TSup_y
950400,286.259092118588
950430,286.2590921226324
950460,286.25909076270347
950490,286.2590900231317
950520,286.2590898050063
950550,286.259093355043
950580,286.25909342118604
950610,286.2590927526222
950640,286.25909252330507
950670,286.2590924468417
950700,286.2590924213012
950730,286.25909241272825
950760,286.25909240977785
950790,286.2590924086935
950820,286.2590924082266
950850,286.2590924079404
950880,286.2590924076702
950910,286.25909240736917
950940,286.2590924070345
950970,286.25909240665385
951000,286.2590924062534
951030,286.2590924058131
951060,286.25909240530933
951090,286.25909240474164
951120,286.25909240412585
951150,286.25909240348005
951180,286.25909240273825
951210,286.2590924019271
951240,286.25909240109445
951270,286.25909240017666
951300,286.2590923991572
951330,286.25909239808027
951360,286.2590923969361
951390,286.25909239572974
951420,286.2590923944375
951450,286.2590923930825
951480,286.2590923916407
951510,286.2590923901121
951540,286.2590923884578
951570,286.2590923867107
951600,286.25909238488526
951630,286.2590923829838
951660,286.2590923809649
951690,286.25909237887953
951720,286.25909237670527
951750,286.2590923744093
951780,286.2590923720611
951810,286.25909236963486
951840,286.2590923688385
951870,286.25909236860394
951900,286.25909236854585
951930,286.25909236856205
951960,286.25909236858206
951990,286.25909236861565
952020,286.25909236864084
952050,286.2590923686419
952080,286.25909236862685
952110,286.2590923686362
952140,286.2590923686573
952170,286.25909236867085
952200,286.2590923686653
952230,286.25909236863754
952260,286.25909236862844
952290,286.2590923686215
952320,286.25909236862134
952350,286.2590923686295
952380,286.2590923686165
952410,286.2590923685786
952440,286.2590923685562
952470,286.2590923685473
952500,286.25909236854795
952530,286.25909236854886
952560,286.2590923685626
952590,286.2590923685905
952620,286.2590923686455
952650,286.2590923687037
952680,286.25909236875344
952710,286.25909236884615
952740,286.25909236894444
952770,286.2590923690413
952800,286.25909236920955
952830,286.25909236938014
952860,286.25909236955874
952890,286.25909236976435
952920,286.2590923700506
952950,286.2590923703596
952980,286.2590923706996
953010,286.25909237107317
953040,286.259092371508
953070,286.2590923719549
953100,286.25909237246117
953130,286.25909237300453
953160,286.2590923735532
953190,286.25909237418125
953220,286.2590923748636
953250,286.25909237559523
953280,286.25909237635057
953310,286.2590923771234
953340,286.25909237794434
953370,286.2590923787933
953400,286.2590923797059
953430,286.25909238063906
953460,286.2590923815711
953490,286.25909238251785
953520,286.25909238347305
953550,286.2590923844722
953580,286.25909238547194
953610,286.2590923864508
953640,286.25909238772806
953670,286.2590923891367
953700,286.25909239060985
953730,286.2590923921208
953760,286.259092393687
953790,286.2590923952963
953820,286.25909239690606
953850,286.25909239850324
953880,286.25909240009184
953910,286.25909240162247
953940,286.2590924030841
953970,286.25909240446174
954000,286.2590924057412
