time,hvac_reaZonCor_TZon_y
950400,293.2605965857749
950430,293.2602263005825
950460,293.25985324795215
950490,293.25947658428214
950520,293.25909573941146
950550,293.2587105029916
950580,293.2583206698045
950610,293.257926223223
950640,293.2575272431145
950670,293.25712385500657
950700,293.256716227137
950730,293.2563045622756
950760,293.2558890881311
950790,293.2554700488532
950820,293.2550476978983
950850,293.25462229225394
950880,293.25419408788764
950910,293.2537633362427
950940,293.253330281602
950970,293.2528951591603
951000,293.25245819366495
951030,293.2520195985131
951060,293.25157957520696
951090,293.25113831309136
951120,293.2506959893096
951150,293.25025276892603
951180,293.2498088051755
951210,293.2493642398032
951240,293.24891920347204
951270,293.2484738162153
951300,293.24802818791625
951330,293.24758241880323
951360,293.24713659995126
951390,293.2466908137797
951420,293.24624513454216
951450,293.24579962880307
951480,293.2453543558991
951510,293.2449093683818
951540,293.24446471244084
951570,293.24402042830707
951600,293.24357655063466
951630,293.243133108863
951660,293.2426901275577
951690,293.2422476267312
951720,293.24180562214536
951750,293.24136412559403
951780,293.240923145168
951810,293.240482685504
951840,293.2400427480092
951870,293.23960333109704
951900,293.23916443037456
951930,293.23872603883285
951960,293.23828814702443
951990,293.2378507432266
952020,293.2374138135948
952050,293.2369773423046
952080,293.23654131168394
952110,293.23610570233643
952140,293.23567049325584
952170,293.23523566193313
952200,293.23480118445474
952230,293.23436703559537
952260,293.2339331889034
952290,293.23349961678076
952320,293.23306629055713
952350,293.2326331805587
952380,293.2322002561726
952410,293.23176748590583
952440,293.23133483744124
952470,293.23090227768887
952500,293.2304697728338
952530,293.2300372883811
952560,293.22960478919646
952590,293.22917223954573
952620,293.2287396030916
952650,293.2283068429798
952680,293.22787392187814
952710,293.2274408019904
952740,293.2270074450785
952770,293.2265738124859
952800,293.2261398651603
952830,293.22570556367606
952860,293.22527086825437
952890,293.22483573878196
952920,293.2244001348295
952950,293.2239640156683
952980,293.22352734028556
953010,293.22309006739874
953040,293.2226521554696
953070,293.2222135627166
953100,293.2217742471266
953130,293.2213341664663
953160,293.2208932782926
953190,293.2204515399617
953220,293.22000890863904
953250,293.2195653413076
953280,293.21912079477573
953310,293.21867522568493
953340,293.2182285905165
953370,293.2177808455987
953400,293.2173319471126
953430,293.21688185109855
953460,293.2164305134614
953490,293.2159778899753
953520,293.21552393628957
953550,293.2150686079325
953580,293.2146118603166
953610,293.2141536487425
953640,293.21369392840165
953670,293.21323265438326
953700,293.21276978167595
953730,293.21230526517115
953760,293.21183905966694
953790,293.2113711198713
953820,293.2109014004054
953850,293.210429855807
953880,293.2099564405329
953910,293.2094811089632
953940,293.20900381540406
953970,293.2085245140911
954000,293.20804315919366
954030,293.20755979979367
954060,293.20707451745636
954090,293.20658733206625
954120,293.2060982915513
954150,293.20560742681755
954180,293.2051148098312
954210,293.20462052481616
954240,293.2041246572252
954270,293.2036272933085
954300,293.2031285195921
954330,293.2026284207416
954360,293.20212707852227
954390,293.2016245714761
954420,293.2011209748749
954450,293.20061636077656
