time,hvac_reaZonSou_TSup_y
950400,285.12976167440434
950430,285.12976168136834
950460,285.12975933880216
950490,285.1297580649305
950520,285.1297576892991
950550,285.12976380193675
950580,285.12976391610226
950610,285.1297627644615
950640,285.12976236941876
950670,285.1297622376953
950700,285.12976219369546
950730,285.1297621789221
950760,285.1297621738429
950790,285.1297621719753
950820,285.1297621711722
950850,285.12976217067757
950880,285.1297621702174
950910,285.12976216970486
950940,285.1297621691291
950970,285.12976216848244
951000,285.12976216779
951030,285.1297621670297
951060,285.129762166158
951090,285.1297621651759
951120,285.12976216411613
951150,285.12976216299757
951180,285.1297621617213
951210,285.1297621603336
951240,285.1297621588878
951270,285.1297621573055
951300,285.1297621555629
951330,285.1297621537075
951360,285.12976215173154
951390,285.1297621496333
951420,285.1297621474019
951450,285.1297621450564
951480,285.12976214256025
951510,285.1297621399162
951540,285.12976213707185
951570,285.12976213406967
951600,285.12976213093714
951630,285.1297621276643
951660,285.12976212419443
951690,285.1297621206046
951720,285.12976211686157
951750,285.12976211290965
951780,285.12976210885705
951810,285.1297621046703
951840,285.12976210328924
951870,285.1297621028831
951900,285.12976210278265
951930,285.12976210279857
951960,285.12976210281863
951990,285.1297621028658
952020,285.12976210291083
952050,285.12976210291885
952080,285.12976210289514
952110,285.12976210291254
952140,285.129762102941
952170,285.129762102966
952200,285.1297621029548
952230,285.12976210290725
952260,285.12976210289804
952290,285.1297621028798
952320,285.1297621028677
952350,285.12976210287474
952380,285.12976210286
952410,285.1297621028085
952440,285.12976210278197
952470,285.12976210277293
952500,285.1297621027713
952530,285.1297621027722
952560,285.1297621027988
952590,285.12976210284717
952620,285.12976210294045
952650,285.1297621030483
952680,285.129762103139
952710,285.12976210329197
952740,285.12976210346017
952770,285.129762103635
952800,285.1297621039137
952830,285.12976210420953
952860,285.1297621045237
952890,285.12976210487636
952920,285.12976210536266
952950,285.1297621058951
952980,285.1297621064859
953010,285.129762107139
953040,285.12976210789355
953070,285.1297621086663
953100,285.1297621095414
953130,285.12976211047527
953160,285.12976211142006
953190,285.12976211249435
953220,285.12976211365896
953250,285.12976211490934
953280,285.1297621162113
953310,285.1297621175421
953340,285.1297621189593
953370,285.1297621204237
953400,285.1297621219904
953430,285.1297621235953
953460,285.1297621251986
953490,285.12976212683117
953520,285.129762128472
953550,285.1297621301864
953580,285.12976213191007
953610,285.12976213359207
953640,285.1297621357905
953670,285.1297621382187
953700,285.1297621407587
953730,285.12976214336595
953760,285.1297621460651
953790,285.12976214883673
953820,285.1297621516074
953850,285.12976215435475
953880,285.12976215708954
953910,285.12976215972515
953940,285.12976216224024
953970,285.1297621646013
954000,285.1297621667942
954030,285.1297622152743
954060,285.1297622956473
954090,285.1297623324421
954120,285.12975637699736
954150,285.12975438407165
954180,285.1297555920764
954210,285.1297577767336
954240,285.1297601957778
954270,285.129762718559
954300,285.1297652921071
954330,285.12976788775876
954360,285.12977049662356
954390,285.1297731169484
954420,285.1297757481095
954450,285.1297783899352
954480,285.12978104258275
954510,285.1297837061283
954540,285.12978638076123
954570,285.12978906662977
954600,285.1297917639794
954630,285.12979447291616
954660,285.1297971937891
954690,285.1297999265151
954720,285.12980267142274
954750,285.1298054286071
954780,285.1298081982908
954810,285.1298109811843
954840,285.12981378300316
954870,285.1298166048915
954900,285.1298194427667
954930,285.12982229486664
954960,285.12982516109037
954990,285.1298280414941
955020,285.12983093612354
955050,285.12983384509334
955080,285.12983676855106
955110,285.1298397065996
955140,285.1298426593965
955170,285.1298456271321
955200,285.1298486098206
955230,285.12985160776293
955260,285.1298546208349
955290,285.1298576494247
955320,285.1298606934572
955350,285.12986375321515
955380,285.1298668287366
955410,285.12986992012804
955440,285.12987313973036
955470,285.1298760330578
955500,285.12987916973805
955530,285.1298823257551
955560,285.12988547632926
955590,285.12988863619216
955620,285.12989181100215
955650,285.12989500194317
955680,285.1298982093691
955710,285.1299014333292
955740,285.1299046742745
955770,285.1299079320854
955800,285.12991120693664
955830,285.1299144988517
955860,285.1299178078439
955890,285.1299211343477
955920,285.1299244779639
955950,285.12992783902314
955980,285.129931217721
956010,285.12993461376107
956040,285.12993802751737
956070,285.1299414588602
956100,285.1299449080305
956130,285.1299483749854
956160,285.1299518597768
956190,285.12995536253544
956220,285.1299588831546
956250,285.1299624218496
956280,285.1299659786672
956310,285.129969553423
956340,285.12997314647646
956370,285.12997675766434
956400,285.1299803871175
956430,285.12998403476155
956460,285.1299877007051
956490,285.12999138504046
956520,285.12999508776676
956550,285.1299988088006
956580,285.13000254825454
956610,285.13000630619354
956640,285.1300100824485
956670,285.13001387736057
956700,285.13001769065113
956730,285.13002152234264
956760,285.13002537268557
956790,285.1300292415257
956820,285.1300331288034
956850,285.13003703466785
956880,285.13004095899686
956910,285.13004490188723
956940,285.13004886338985
956970,285.1300528432192
957000,285.1300568415944
957030,285.1300608585073
957060,285.1300648938421
957090,285.1300689477061
957120,285.1300730199852
957150,285.13007711059856
957180,285.13008121966243
957210,285.1300853471053
957240,285.1300896661438
957270,285.1300934920192
957300,285.1300976735334
957330,285.13010188176116
957360,285.1301060751928
957390,285.1301102755341
957420,285.1301144915234
957450,285.13011872472157
957480,285.13012297537296
