time,hvac_reaAhu_THeaCoiRet_y
950400,285.01404792170473
950430,285.01404792170473
950460,285.01404792170473
950490,285.01404792170473
950520,285.01404792170473
950550,285.01404792170473
950580,285.01404792170473
950610,285.01404792170473
950640,285.01404792170473
950670,285.01404792170473
950700,285.01404792170473
950730,285.01404792170473
950760,285.01404792170473
950790,285.01404792170473
950820,285.01404792170473
950850,285.01404792170473
950880,285.01404792170473
950910,285.01404792170473
950940,285.01404792170473
950970,285.01404792170473
951000,285.01404792170473
951030,285.81738721971277
951060,285.8106856176109
951090,285.8131350121045
951120,285.81557318377634
951150,285.81801029278085
951180,285.8204474826744
951210,285.8228846978221
951240,285.82532188281806
951270,285.82775903436584
951300,285.83019615266005
951330,285.83263323769233
951360,285.8350702894702
951390,285.83750730800136
951420,285.8399442932876
951450,285.84238124532914
951480,285.8448181641264
951510,285.84725504967975
951540,285.84969190198956
951570,285.85212872105654
951600,285.8545655068809
951630,285.8570022490996
951660,285.8594389612121
951690,285.86187564063175
951720,285.86431229177975
951750,285.86674890027444
951780,285.86918548645855
951810,285.87162203504664
951840,285.8740585439396
951870,285.87649502940894
951900,285.87893148281813
951930,285.8813679030061
951960,285.8838042899556
951990,285.8862406436686
952020,285.8886769641456
952050,285.89111325138686
952080,285.89354950539285
952110,285.89598572616393
952140,285.8984219048803
952170,285.9008580459235
952200,285.90329416193424
952230,285.9057302411196
952260,285.9081662816915
952290,285.9106023020814
952320,285.9130382795664
952350,285.915474224428
952380,285.91791014453156
952410,285.920346032969
952440,285.92278188819006
952470,285.92521771018
952500,285.9276534889351
952530,285.9300892288631
952560,285.9325249422918
952590,285.93496062281696
952620,285.937396276821
952650,285.939831898829
952680,285.9422674880212
952710,285.94470304412425
952740,285.94713856704755
952770,285.9495740567612
952800,285.9520095132555
952830,285.9544449214139
952860,285.9568803082724
952890,285.95931566156014
952920,285.9617509845485
952950,285.96418627472514
952980,285.96662153181694
953010,285.9690567557331
953040,285.97149194644373
953070,285.9739271039391
953100,285.97636222821626
953130,285.97879731927463
953160,285.9812323771141
953190,285.9836674017352
953220,285.98610239313825
953250,285.98853735132366
953280,285.990972276292
953310,285.9934071680436
953340,285.9958420265789
953370,285.9982768518984
953400,286.00071164400265
953430,286.0031463981165
953460,286.0055811237159
953490,286.008015816175
953520,286.0104504643098
953550,286.0128850848088
953580,286.0153196757855
953610,286.0177542347802
953640,286.0201887609733
953670,286.0226232540918
953700,286.0250577140451
953730,286.02749214080313
953760,286.0299265343563
953790,286.0323608947018
953820,286.0347952218388
953850,286.0372295157675
953880,286.03966377648806
953910,286.0420980040011
953940,286.0445321983069
953970,286.04696635940604
954000,286.04940048729884
954030,286.05183457664054
954060,286.05426863798414
954090,286.056702666259
954120,286.0591366481479
954150,286.06157059341456
954180,286.0640045054782
954210,286.066438384339
954240,286.06887222999774
954270,286.0713060424547
954300,286.0737398217103
954330,286.0761735677651
954360,286.0786072806195
954390,286.081040960274
954420,286.08347460672894
954450,286.0859082199849
954480,286.08834180004226
954510,286.09077534690147
954540,286.09320886056304
954570,286.09564234102737
954600,286.098075788295
954630,286.10050920836795
954660,286.10294258924324
954690,286.1053759369231
954720,286.10780925140807
954750,286.1102425326985
954780,286.11267578079486
954810,286.1151089956976
954840,286.11754217740724
954870,286.11997532592414
954900,286.12240844124887
954930,286.12484152338175
954960,286.12727457232324
954990,286.1297075880739
955020,286.13214057063425
955050,286.1345735200045
955080,286.13700643618523
955110,286.1394393191769
955140,286.14187216897994
955170,286.14430498559483
955200,286.14673776902197
955230,286.14917052402956
955260,286.15160324108257
955290,286.15403592494926
955320,286.1564685756301
955350,286.1589011931253
955380,286.1613337774357
955410,286.1637663285614
955440,286.16619884650316
955470,286.16863133126117
955500,286.17106378283603
955530,286.17349620122815
955560,286.175928586438
955590,286.178360938466
955620,286.18079325731264
955650,286.18322554297833
955680,286.18565779546356
955710,286.1880900147688
955740,286.19052220089446
955770,286.19295435384106
955800,286.1953864736089
955830,286.1978185684178
955860,286.20025062182964
955890,286.20268264206413
955920,286.20511462912174
955950,286.207546583003
955980,286.2099785037083
956010,286.21241039123817
956040,286.21484224559293
956070,286.2172740667731
956100,286.21970585477914
956130,286.2221376096116
956160,286.2245693312707
956190,286.22700101975704
956220,286.2294326750711
956250,286.23186429721324
956280,286.23429588618404
956310,286.23672744198376
956340,286.23915896461307
956370,286.24159045407225
956400,286.2440219103618
