timestamp,Occupancy[wes]
11836800,0.0
11836830,0.0
11836860,0.0
11836890,0.0
11836920,0.0
11836950,0.0
11836980,0.0
11837010,0.0
11837040,0.0
11837070,0.0
11837100,0.0
11837130,0.0
11837160,0.0
11837190,0.0
11837220,0.0
11837250,0.0
11837280,0.0
11837310,0.0
11837340,0.0
11837370,0.0
11837400,0.0
11837430,0.0
11837460,0.0
11837490,0.0
11837520,0.0
11837550,0.0
11837580,0.0
11837610,0.0
11837640,0.0
11837670,0.0
11837700,0.0
11837730,0.0
11837760,0.0
11837790,0.0
11837820,0.0
11837850,0.0
11837880,0.0
11837910,0.0
11837940,0.0
11837970,0.0
11838000,0.0
11838030,0.0
11838060,0.0
11838090,0.0
11838120,0.0
11838150,0.0
11838180,0.0
11838210,0.0
11838240,0.0
11838270,0.0
11838300,0.0
11838330,0.0
11838360,0.0
11838390,0.0
11838420,0.0
11838450,0.0
11838480,0.0
11838510,0.0
11838540,0.0
11838570,0.0
11838600,0.0
11838630,0.0
11838660,0.0
11838690,0.0
11838720,0.0
11838750,0.0
11838780,0.0
11838810,0.0
11838840,0.0
11838870,0.0
11838900,0.0
11838930,0.0
11838960,0.0
11838990,0.0
11839020,0.0
11839050,0.0
11839080,0.0
11839110,0.0
11839140,0.0
11839170,0.0
11839200,0.0
11839230,0.0
11839260,0.0
11839290,0.0
11839320,0.0
11839350,0.0
11839380,0.0
11839410,0.0
11839440,0.0
11839470,0.0
11839500,0.0
11839530,0.0
11839560,0.0
11839590,0.0
11839620,0.0
11839650,0.0
11839680,0.0
11839710,0.0
11839740,0.0
11839770,0.0
11839800,0.0
11839830,0.0
11839860,0.0
11839890,0.0
11839920,0.0
11839950,0.0
11839980,0.0
11840010,0.0
11840040,0.0
11840070,0.0
11840100,0.0
11840130,0.0
11840160,0.0
11840190,0.0
11840220,0.0
11840250,0.0
11840280,0.0
11840310,0.0
11840340,0.0
11840370,0.0
11840400,0.0
11840430,0.0
11840460,0.0
11840490,0.0
11840520,0.0
11840550,0.0
11840580,0.0
11840610,0.0
11840640,0.0
11840670,0.0
11840700,0.0
11840730,0.0
11840760,0.0
11840790,0.0
11840820,0.0
11840850,0.0
11840880,0.0
11840910,0.0
11840940,0.0
11840970,0.0
11841000,0.0
11841030,0.0
11841060,0.0
11841090,0.0
11841120,0.0
11841150,0.0
11841180,0.0
11841210,0.0
11841240,0.0
11841270,0.0
11841300,0.0
11841330,0.0
11841360,0.0
11841390,0.0
11841420,0.0
11841450,0.0
11841480,0.0
11841510,0.0
11841540,0.0
11841570,0.0
11841600,0.0
11841630,0.0
11841660,0.0
11841690,0.0
11841720,0.0
11841750,0.0
11841780,0.0
11841810,0.0
11841840,0.0
11841870,0.0
11841900,0.0
11841930,0.0
11841960,0.0
11841990,0.0
11842020,0.0
11842050,0.0
11842080,0.0
11842110,0.0
11842140,0.0
11842170,0.0
11842200,0.0
11842230,0.0
11842260,0.0
11842290,0.0
11842320,0.0
11842350,0.0
11842380,0.0
11842410,0.0
11842440,0.0
11842470,0.0
11842500,0.0
11842530,0.0
11842560,0.0
11842590,0.0
11842620,0.0
11842650,0.0
11842680,0.0
11842710,0.0
11842740,0.0
11842770,0.0
11842800,0.0
11842830,0.0
11842860,0.0
11842890,0.0
11842920,0.0
11842950,0.0
11842980,0.0
11843010,0.0
11843040,0.0
11843070,0.0
11843100,0.0
11843130,0.0
11843160,0.0
11843190,0.0
11843220,0.0
11843250,0.0
11843280,0.0
11843310,0.0
11843340,0.0
11843370,0.0
11843400,0.0
11843430,0.0
11843460,0.0
11843490,0.0
11843520,0.0
11843550,0.0
11843580,0.0
11843610,0.0
11843640,0.0
11843670,0.0
11843700,0.0
11843730,0.0
11843760,0.0
11843790,0.0
11843820,0.0
11843850,0.0
11843880,0.0
11843910,0.0
11843940,0.0
11843970,0.0
11844000,0.0
11844030,0.0
11844060,0.0
11844090,0.0
11844120,0.0
11844150,0.0
11844180,0.0
11844210,0.0
11844240,0.0
11844270,0.0
11844300,0.0
11844330,0.0
11844360,0.0
11844390,0.0
11844420,0.0
11844450,0.0
11844480,0.0
11844510,0.0
11844540,0.0
11844570,0.0
11844600,0.0
11844630,0.0
11844660,0.0
11844690,0.0
11844720,0.0
11844750,0.0
11844780,0.0
11844810,0.0
11844840,0.0
11844870,0.0
11844900,0.0
11844930,0.0
11844960,0.0
11844990,0.0
11845020,0.0
11845050,0.0
11845080,0.0
11845110,0.0
11845140,0.0
11845170,0.0
11845200,0.0
11845230,0.0
11845260,0.0
11845290,0.0
11845320,0.0
11845350,0.0
11845380,0.0
11845410,0.0
11845440,0.0
11845470,0.0
11845500,0.0
11845530,0.0
11845560,0.0
11845590,0.0
11845620,0.0
11845650,0.0
11845680,0.0
11845710,0.0
11845740,0.0
11845770,0.0
11845800,0.0
11845830,0.0
11845860,0.0
11845890,0.0
11845920,0.0
11845950,0.0
11845980,0.0
11846010,0.0
11846040,0.0
11846070,0.0
11846100,0.0
11846130,0.0
11846160,0.0
11846190,0.0
11846220,0.0
11846250,0.0
11846280,0.0
11846310,0.0
11846340,0.0
11846370,0.0
11846400,0.0
11846430,0.0
11846460,0.0
11846490,0.0
11846520,0.0
11846550,0.0
11846580,0.0
11846610,0.0
11846640,0.0
11846670,0.0
11846700,0.0
11846730,0.0
11846760,0.0
11846790,0.0
11846820,0.0
11846850,0.0
11846880,0.0
11846910,0.0
11846940,0.0
11846970,0.0
11847000,0.0
11847030,0.0
11847060,0.0
11847090,0.0
11847120,0.0
11847150,0.0
11847180,0.0
11847210,0.0
11847240,0.0
11847270,0.0
11847300,0.0
11847330,0.0
11847360,0.0
11847390,0.0
11847420,0.0
11847450,0.0
11847480,0.0
11847510,0.0
11847540,0.0
11847570,0.0
11847600,0.0
11847630,0.0
11847660,0.0
11847690,0.0
11847720,0.0
11847750,0.0
11847780,0.0
11847810,0.0
11847840,0.0
11847870,0.0
11847900,0.0
11847930,0.0
11847960,0.0
11847990,0.0
11848020,0.0
11848050,0.0
11848080,0.0
11848110,0.0
11848140,0.0
11848170,0.0
11848200,0.0
11848230,0.0
11848260,0.0
11848290,0.0
11848320,0.0
11848350,0.0
11848380,0.0
11848410,0.0
11848440,0.0
11848470,0.0
11848500,0.0
11848530,0.0
11848560,0.0
11848590,0.0
11848620,0.0
11848650,0.0
11848680,0.0
11848710,0.0
11848740,0.0
11848770,0.0
11848800,0.0
11848830,0.0
11848860,0.0
11848890,0.0
11848920,0.0
11848950,0.0
11848980,0.0
11849010,0.0
11849040,0.0
11849070,0.0
11849100,0.0
11849130,0.0
11849160,0.0
11849190,0.0
11849220,0.0
11849250,0.0
11849280,0.0
11849310,0.0
11849340,0.0
11849370,0.0
11849400,0.0
11849430,0.0
11849460,0.0
11849490,0.0
11849520,0.0
11849550,0.0
11849580,0.0
11849610,0.0
11849640,0.0
11849670,0.0
11849700,0.0
11849730,0.0
11849760,0.0
11849790,0.0
11849820,0.0
11849850,0.0
11849880,0.0
11849910,0.0
11849940,0.0
11849970,0.0
11850000,0.0
11850030,0.0
11850060,0.0
11850090,0.0
11850120,0.0
11850150,0.0
11850180,0.0
11850210,0.0
11850240,0.0
11850270,0.0
11850300,0.0
11850330,0.0
11850360,0.0
11850390,0.0
11850420,0.0
11850450,0.0
11850480,0.0
11850510,0.0
11850540,0.0
11850570,0.0
11850600,0.0
11850630,0.0
11850660,0.0
11850690,0.0
11850720,0.0
11850750,0.0
11850780,0.0
11850810,0.0
11850840,0.0
11850870,0.0
11850900,0.0
11850930,0.0
11850960,0.0
11850990,0.0
11851020,0.0
11851050,0.0
11851080,0.0
11851110,0.0
11851140,0.0
11851170,0.0
11851200,0.0
11851230,0.0
11851260,0.0
11851290,0.0
11851320,0.0
11851350,0.0
11851380,0.0
11851410,0.0
11851440,0.0
11851470,0.0
11851500,0.0
11851530,0.0
11851560,0.0
11851590,0.0
11851620,0.0
11851650,0.0
11851680,0.0
11851710,0.0
11851740,0.0
11851770,0.0
11851800,0.0
11851830,0.0
11851860,0.0
11851890,0.0
11851920,0.0
11851950,0.0
11851980,0.0
11852010,0.0
11852040,0.0
11852070,0.0
11852100,0.0
11852130,0.0
11852160,0.0
11852190,0.0
11852220,0.0
11852250,0.0
11852280,0.0
11852310,0.0
11852340,0.0
11852370,0.0
11852400,0.0
11852430,0.0
11852460,0.0
11852490,0.0
11852520,0.0
11852550,0.0
11852580,0.0
11852610,0.0
11852640,0.0
11852670,0.0
11852700,0.0
11852730,0.0
11852760,0.0
11852790,0.0
11852820,0.0
11852850,0.0
11852880,0.0
11852910,0.0
11852940,0.0
11852970,0.0
11853000,0.0
11853030,0.0
11853060,0.0
11853090,0.0
11853120,0.0
11853150,0.0
11853180,0.0
11853210,0.0
11853240,0.0
11853270,0.0
11853300,0.0
11853330,0.0
11853360,0.0
11853390,0.0
11853420,0.0
11853450,0.0
11853480,0.0
11853510,0.0
11853540,0.0
11853570,0.0
11853600,0.0
11853630,0.0
11853660,0.0
11853690,0.0
11853720,0.0
11853750,0.0
11853780,0.0
11853810,0.0
11853840,0.0
11853870,0.0
11853900,0.0
11853930,0.0
11853960,0.0
11853990,0.0
11854020,0.0
11854050,0.0
11854080,0.0
11854110,0.0
11854140,0.0
11854170,0.0
11854200,0.0
11854230,0.0
11854260,0.0
11854290,0.0
11854320,0.0
11854350,0.0
11854380,0.0
11854410,0.0
11854440,0.0
11854470,0.0
11854500,0.0
11854530,0.0
11854560,0.0
11854590,0.0
11854620,0.0
11854650,0.0
11854680,0.0
11854710,0.0
11854740,0.0
11854770,0.0
11854800,0.0
11854830,0.0
11854860,0.0
11854890,0.0
11854920,0.0
11854950,0.0
11854980,0.0
11855010,0.0
11855040,0.0
11855070,0.0
11855100,0.0
11855130,0.0
11855160,0.0
11855190,0.0
11855220,0.0
11855250,0.0
11855280,0.0
11855310,0.0
11855340,0.0
11855370,0.0
11855400,0.0
11855430,0.0
11855460,0.0
11855490,0.0
11855520,0.0
11855550,0.0
11855580,0.0
11855610,0.0
11855640,0.0
11855670,0.0
11855700,0.0
11855730,0.0
11855760,0.0
11855790,0.0
11855820,0.0
11855850,0.0
11855880,0.0
11855910,0.0
11855940,0.0
11855970,0.0
11856000,0.0
11856030,0.0
11856060,0.0
11856090,0.0
11856120,0.0
11856150,0.0
11856180,0.0
11856210,0.0
11856240,0.0
11856270,0.0
11856300,0.0
11856330,0.0
11856360,0.0
11856390,0.0
11856420,0.0
11856450,0.0
11856480,0.0
11856510,0.0
11856540,0.0
11856570,0.0
11856600,0.0
11856630,0.0
11856660,0.0
11856690,0.0
11856720,0.0
11856750,0.0
11856780,0.0
11856810,0.0
11856840,0.0
11856870,0.0
11856900,0.0
11856930,0.0
11856960,0.0
11856990,0.0
11857020,0.0
11857050,0.0
11857080,0.0
11857110,0.0
11857140,0.0
11857170,0.0
11857200,0.0
11857230,0.0
