timestamp,Occupancy[eas]
950400,0.0
950430,0.0
950460,0.0
950490,0.0
950520,0.0
950550,0.0
950580,0.0
950610,0.0
950640,0.0
950670,0.0
950700,0.0
950730,0.0
950760,0.0
950790,0.0
950820,0.0
950850,0.0
950880,0.0
950910,0.0
950940,0.0
950970,0.0
951000,0.0
951030,0.0
951060,0.0
951090,0.0
951120,0.0
951150,0.0
951180,0.0
951210,0.0
951240,0.0
951270,0.0
951300,0.0
951330,0.0
951360,0.0
951390,0.0
951420,0.0
951450,0.0
951480,0.0
951510,0.0
951540,0.0
951570,0.0
951600,0.0
951630,0.0
951660,0.0
951690,0.0
951720,0.0
951750,0.0
951780,0.0
951810,0.0
951840,0.0
951870,0.0
951900,0.0
951930,0.0
951960,0.0
951990,0.0
952020,0.0
952050,0.0
952080,0.0
952110,0.0
952140,0.0
952170,0.0
952200,0.0
952230,0.0
952260,0.0
952290,0.0
952320,0.0
952350,0.0
952380,0.0
952410,0.0
952440,0.0
952470,0.0
952500,0.0
952530,0.0
952560,0.0
952590,0.0
952620,0.0
952650,0.0
952680,0.0
952710,0.0
952740,0.0
952770,0.0
952800,0.0
952830,0.0
952860,0.0
952890,0.0
952920,0.0
952950,0.0
952980,0.0
953010,0.0
953040,0.0
953070,0.0
953100,0.0
953130,0.0
953160,0.0
953190,0.0
953220,0.0
953250,0.0
953280,0.0
953310,0.0
953340,0.0
953370,0.0
953400,0.0
953430,0.0
953460,0.0
953490,0.0
953520,0.0
953550,0.0
953580,0.0
953610,0.0
953640,0.0
953670,0.0
953700,0.0
953730,0.0
953760,0.0
953790,0.0
953820,0.0
953850,0.0
953880,0.0
953910,0.0
953940,0.0
953970,0.0
954000,0.0
954030,0.0
954060,0.0
954090,0.0
954120,0.0
954150,0.0
954180,0.0
954210,0.0
954240,0.0
954270,0.0
954300,0.0
954330,0.0
954360,0.0
954390,0.0
954420,0.0
954450,0.0
954480,0.0
954510,0.0
954540,0.0
954570,0.0
954600,0.0
954630,0.0
954660,0.0
954690,0.0
954720,0.0
954750,0.0
954780,0.0
954810,0.0
954840,0.0
954870,0.0
954900,0.0
954930,0.0
954960,0.0
954990,0.0
955020,0.0
955050,0.0
955080,0.0
955110,0.0
955140,0.0
955170,0.0
955200,0.0
955230,0.0
955260,0.0
955290,0.0
955320,0.0
955350,0.0
955380,0.0
955410,0.0
955440,0.0
955470,0.0
955500,0.0
955530,0.0
955560,0.0
955590,0.0
955620,0.0
955650,0.0
955680,0.0
955710,0.0
955740,0.0
955770,0.0
955800,0.0
955830,0.0
955860,0.0
955890,0.0
955920,0.0
955950,0.0
955980,0.0
956010,0.0
956040,0.0
956070,0.0
956100,0.0
956130,0.0
956160,0.0
956190,0.0
956220,0.0
956250,0.0
956280,0.0
956310,0.0
956340,0.0
956370,0.0
956400,0.0
956430,0.0
956460,0.0
956490,0.0
956520,0.0
956550,0.0
956580,0.0
956610,0.0
956640,0.0
956670,0.0
956700,0.0
956730,0.0
956760,0.0
956790,0.0
956820,0.0
956850,0.0
956880,0.0
956910,0.0
956940,0.0
956970,0.0
957000,0.0
957030,0.0
957060,0.0
957090,0.0
957120,0.0
957150,0.0
957180,0.0
957210,0.0
957240,0.0
957270,0.0
957300,0.0
957330,0.0
957360,0.0
957390,0.0
957420,0.0
957450,0.0
957480,0.0
957510,0.0
957540,0.0
957570,0.0
957600,0.0
957630,0.0
957660,0.0
957690,0.0
957720,0.0
957750,0.0
957780,0.0
957810,0.0
957840,0.0
957870,0.0
957900,0.0
957930,0.0
957960,0.0
957990,0.0
958020,0.0
958050,0.0
958080,0.0
958110,0.0
958140,0.0
958170,0.0
958200,0.0
958230,0.0
958260,0.0
958290,0.0
958320,0.0
958350,0.0
958380,0.0
958410,0.0
958440,0.0
958470,0.0
958500,0.0
958530,0.0
958560,0.0
958590,0.0
958620,0.0
958650,0.0
958680,0.0
958710,0.0
958740,0.0
958770,0.0
958800,0.0
958830,0.0
958860,0.0
958890,0.0
958920,0.0
958950,0.0
958980,0.0
959010,0.0
959040,0.0
959070,0.0
959100,0.0
959130,0.0
959160,0.0
959190,0.0
959220,0.0
959250,0.0
959280,0.0
959310,0.0
959340,0.0
959370,0.0
959400,0.0
959430,0.0
959460,0.0
959490,0.0
959520,0.0
959550,0.0
959580,0.0
959610,0.0
959640,0.0
959670,0.0
959700,0.0
959730,0.0
959760,0.0
959790,0.0
959820,0.0
959850,0.0
959880,0.0
959910,0.0
959940,0.0
959970,0.0
960000,0.0
960030,0.0
960060,0.0
960090,0.0
960120,0.0
960150,0.0
960180,0.0
960210,0.0
960240,0.0
960270,0.0
960300,0.0
960330,0.0
960360,0.0
960390,0.0
960420,0.0
960450,0.0
960480,0.0
960510,0.0
960540,0.0
960570,0.0
960600,0.0
960630,0.0
960660,0.0
960690,0.0
960720,0.0
960750,0.0
960780,0.0
960810,0.0
960840,0.0
960870,0.0
960900,0.0
960930,0.0
960960,0.0
960990,0.0
961020,0.0
961050,0.0
961080,0.0
961110,0.0
961140,0.0
961170,0.0
961200,0.0
961230,0.0
961260,0.0
961290,0.0
961320,0.0
961350,0.0
961380,0.0
961410,0.0
961440,0.0
961470,0.0
961500,0.0
961530,0.0
961560,0.0
961590,0.0
961620,0.0
961650,0.0
961680,0.0
961710,0.0
961740,0.0
961770,0.0
961800,0.0
961830,0.0
961860,0.0
961890,0.0
961920,0.0
961950,0.0
961980,0.0
962010,0.0
962040,0.0
962070,0.0
962100,0.0
962130,0.0
962160,0.0
962190,0.0
962220,0.0
962250,0.0
962280,0.0
962310,0.0
962340,0.0
962370,0.0
962400,0.0
962430,0.0
962460,0.0
962490,0.0
962520,0.0
962550,0.0
962580,0.0
962610,0.0
962640,0.0
962670,0.0
962700,0.0
962730,0.0
962760,0.0
962790,0.0
962820,0.0
962850,0.0
962880,0.0
962910,0.0
962940,0.0
962970,0.0
963000,0.0
963030,0.0
963060,0.0
963090,0.0
963120,0.0
963150,0.0
963180,0.0
963210,0.0
963240,0.0
963270,0.0
963300,0.0
963330,0.0
963360,0.0
963390,0.0
963420,0.0
963450,0.0
963480,0.0
963510,0.0
963540,0.0
963570,0.0
963600,0.0
963630,0.0
963660,0.0
963690,0.0
963720,0.0
963750,0.0
963780,0.0
963810,0.0
963840,0.0
963870,0.0
963900,0.0
963930,0.0
963960,0.0
963990,0.0
964020,0.0
964050,0.0
964080,0.0
964110,0.0
964140,0.0
964170,0.0
964200,0.0
964230,0.0
964260,0.0
964290,0.0
964320,0.0
964350,0.0
964380,0.0
964410,0.0
964440,0.0
964470,0.0
964500,0.0
964530,0.0
964560,0.0
964590,0.0
964620,0.0
964650,0.0
964680,0.0
964710,0.0
964740,0.0
964770,0.0
964800,0.0
964830,0.0
964860,0.0
964890,0.0
964920,0.0
964950,0.0
964980,0.0
965010,0.0
965040,0.0
965070,0.0
965100,0.0
965130,0.0
965160,0.0
965190,0.0
965220,0.0
965250,0.0
965280,0.0
965310,0.0
965340,0.0
965370,0.0
965400,0.0
965430,0.0
965460,0.0
