time,hvac_reaZonWes_TZon_y
11836800,296.28936080055274
11836830,296.286265091263
11836860,296.2830581514755
11836890,296.27975381567654
11836920,296.27637806178046
11836950,296.2729496093545
11836980,296.2694872956516
11837010,296.26600835624777
11837040,296.2625281143878
11837070,296.25906006951544
11837100,296.25561568653717
11837130,296.2522050084858
11837160,296.24883645410057
11837190,296.2455170998034
11837220,296.24225280880916
11837250,296.23904836007966
11837280,296.2359075669491
11837310,296.2328333889982
11837340,296.22982803705463
11837370,296.2268930692609
11837400,296.2240294778122
11837430,296.221237767192
11837460,296.2185180246322
11837490,296.2158699830317
11837520,296.2132930775345
11837550,296.2107864968756
11837580,296.2083492266295
11837610,296.205980086315
11837640,296.20367776249543
11837670,296.20144083793025
11837700,296.1992678164002
11837730,296.197157143665
11837760,296.19510722531453
11837790,296.19311644196347
11837820,296.19118316198916
11837850,296.1893057520367
11837880,296.18748258562687
11837910,296.1857120501559
11837940,296.1839925524938
11837970,296.18232252335423
11838000,296.18070042062317
11838030,296.17912473178905
11838060,296.1775939756438
11838090,296.1761067033321
11838120,296.17466149888503
11838150,296.17325697930585
11838180,296.1718917942982
11838210,296.17056462570054
11838240,296.16927418668007
11838270,296.16801922074933
11838300,296.16679850062565
11838330,296.1656108269885
11838360,296.164455027157
11838390,296.163329953711
11838420,296.16223448308153
11838450,296.16116751412426
11838480,296.1601279666937
11838510,296.15911478022775
11838540,296.15812691235334
11838570,296.1571633375215
11838600,296.15622304567523
11838630,296.15530504095835
11838660,296.15440834047365
11838690,296.15353197307354
11838720,296.15267498231356
11838750,296.15183644175363
11838780,296.1510153862104
11838810,296.15021084894863
11838840,296.1494219193911
11838870,296.1486476783939
11838900,296.1478872104395
11838930,296.14713960182735
11838960,296.14640394189473
11838990,296.14567932226987
11839020,296.1449648365063
11839050,296.1442595794578
11839080,296.1435626467936
11839110,296.14287313450416
11839140,296.14219013847924
11839170,296.1415127541263
11839200,296.1408400760396
11839230,296.14017119771916
11839260,296.1395052113419
11839290,296.13884120757547
11839320,296.1381782754501
11839350,296.13751550227306
11839380,296.1368519735979
11839410,296.1361867732403
11839440,296.13551898334146
11839470,296.13484768434915
11839500,296.1341719554153
11839530,296.1334908745223
11839560,296.13280351875574
11839590,296.13210896460583
11839620,296.1314062883504
11839650,296.1306945664481
11839680,296.12997287602417
11839710,296.12924029535196
11839740,296.1284959044411
11839770,296.1277387855977
11839800,296.12696802411705
11839830,296.12618270892096
11839860,296.1253819333533
11839890,296.1245647958858
11839920,296.1237304010173
11839950,296.12287786002656
11839980,296.1220062919805
11840010,296.1211148245086
11840040,296.1202025949291
11840070,296.1192687510067
11840100,296.11831245221236
11840130,296.1173328704186
11840160,296.11632919131813
11840190,296.1153006149792
11840220,296.1142463574901
11840250,296.1131656512498
11840280,296.1120577469412
11840310,296.11092191338696
11840340,296.10975744001524
11840370,296.10856363602306
11840400,296.107339833603
11840430,296.1060866999336
11840460,296.104807959111
11840490,296.10350787492774
11840520,296.10219017626497
11840550,296.10085859085405
11840580,296.0995155517227
11840610,296.0981634113074
11840640,296.096804304974
11840670,296.09544012684125
11840700,296.09407254351765
11840730,296.09270301856986
11840760,296.0913328378144
11840790,296.08996313247536
11840820,296.0885948995168
11840850,296.087229019223
11840880,296.0858662703136
11840910,296.0845073429088
11840940,296.083152849659
11840970,296.08180333529225
11841000,296.08045928482517
11841030,296.0791211306259
11841060,296.07778925850425
11841090,296.07646401296864
11841120,296.0751457017751
11841150,296.073834599875
11841180,296.07253095284455
11841210,296.0712349798754
11841240,296.06994687639775
11841270,296.0686668163729
11841300,296.06739495432436
11841330,296.06613142712945
11841360,296.06487635561876
11841390,296.0636298460019
11841420,296.0623919911525
11841450,296.06116287176934
11841480,296.0599425574386
11841510,296.0587311075981
11841540,296.05752857243874
11841570,296.0563349937324
11841600,296.05515040561755
11841630,296.05397483532823
11841660,296.0528083039022
11841690,296.0516508268423
11841720,296.0505024147686
11841750,296.0493630740398
11841780,296.0482328073681
11841810,296.0471116144175
11841840,296.04599949239525
11841870,296.0448964366409
11841900,296.04380244120705
11841930,296.04271749944553
11841960,296.04164160458447
11841990,296.0405747503196
11842020,296.039516931393
11842050,296.038468144186
11842080,296.0374283873056
11842110,296.03639766217555
11842140,296.0353759736246
11842170,296.0343633304753
11842200,296.03335974612395
11842230,296.0323652391146
11842260,296.0313798337014
11842290,296.03040356039213
11842320,296.0294364564719
11842350,296.0284786628381
11842380,296.02753015652644
11842410,296.0265933080628
11842440,296.0256641282557
11842470,296.02474368873965
11842500,296.0238343265012
11842530,296.02293551468796
11842560,296.0220452549207
11842590,296.0211643021536
11842620,296.0202928220582
11842650,296.0194287008075
11842680,296.0185723141256
11842710,296.0177214741795
11842740,296.01687547017787
11842770,296.0160336275835
11842800,296.01519690587384
11842830,296.01436600205676
11842860,296.01354359185996
11842890,296.01273172174524
11842920,296.0119321526337
11842950,296.01114645412343
11842980,296.0103758419842
11843010,296.00962105868814
11843040,296.00888227927874
11843070,296.00815903440304
11843100,296.00745014576637
11843130,296.00675393824696
11843160,296.00606928315375
11843190,296.00539589205664
11843220,296.0047342093058
11843250,296.0040852102564
11843280,296.00345018117883
