time,hvac_reaZonWes_CO2Zon_y
11836800,605.9840334356643
11836830,606.0014442952557
11836860,606.012458241099
11836890,606.0167999557119
11836920,606.0147761856624
11836950,606.0067072611222
11836980,605.9929495547245
11837010,605.9738691220648
11837040,605.9498336130416
11837070,605.9212100602123
11837100,605.8883559177366
11837130,605.8516269388206
11837160,605.8113682035861
11837190,605.767915996227
11837220,605.7215966392351
11837250,605.6727256954363
11837280,605.621607313211
11837310,605.5685337619944
11837340,605.5137851425753
11837370,605.4576292173684
11837400,605.4003213329812
11837430,605.3421044295371
11837460,605.2832091299773
11837490,605.2238538926496
11837520,605.1642452296699
11837550,605.1045779971482
11837580,605.0450356837589
11837610,604.9857907129973
11837640,604.9270047835438
11837670,604.8688292357236
11837700,604.8114054234887
11837730,604.754865087334
11837760,604.6993307310298
11837790,604.6449160008801
11837820,604.5917260625383
11837850,604.5398579715571
11837880,604.4894010369355
11837910,604.4404371770149
11837940,604.3930412663431
11837970,604.3472814722244
11838000,604.303219580435
11838030,604.2609113094851
11838060,604.2204066137001
11838090,604.1817499742367
11838120,604.1449806785213
11838150,604.1101330877837
11838180,604.0772368929825
11838210,604.0463173592593
11838240,604.017395559051
11838270,603.9904885943844
11838300,603.9656098082313
11838330,603.9427689856035
11838360,603.9219725445662
11838390,603.9032237174855
11838420,603.8865227229317
11838450,603.8718669285346
11838480,603.8592510051873
11838510,603.848667072906
11838540,603.8401048387348
11838570,603.8335517270158
11838600,603.8289930023291
11838630,603.8264118854858
11838660,603.8257896629779
11838690,603.8271057898359
11838720,603.8303383138135
11838750,603.8354636411252
11838780,603.8424558400344
11838810,603.8512873230723
11838840,603.8619300418729
11838870,603.8743543677937
11838900,603.8885293950625
11838930,603.9044229808544
11838960,603.9220018384266
11838990,603.941231590208
11839020,603.9620768241107
11839050,603.9845011410449
11839080,604.0084672012126
11839110,604.0339367665114
11839140,604.060870740793
11839170,604.0892292075359
11839200,604.1189714653541
11839230,604.1500560614775
11839260,604.1824408234337
11839290,604.2160828889563
11839320,604.2509387345239
11839350,604.2869642024493
11839380,604.3241145268809
11839410,604.3623443587242
11839440,604.4016077896492
11839470,604.4418583727863
11839500,604.4830491491974
11839530,604.5251326681082
11839560,604.5680610094765
11839590,604.611785805871
11839620,604.6562582645755
11839650,604.7014291889697
11839680,604.7472490008352
11839710,604.7936677619048
11839740,604.8406351968869
11839770,604.8881007154849
11839800,604.9360134365759
11839830,604.9843222110528
11839860,605.0329756475041
11839890,605.081922136071
11839920,605.1311098760103
11839950,605.1804869005049
11839980,605.2300011065504
11840010,605.279600280533
11840040,605.3292321308949
11840070,605.3788443140264
11840100,605.4283844702553
11840130,605.4778002493841
11840160,605.5270393507134
11840190,605.5760495468821
11840220,605.6247787293688
11840250,605.673174928371
11840280,605.7211863658595
11840310,605.7687614682509
11840340,605.8158489302463
11840370,605.8623977152935
11840400,605.9083571353946
11840430,605.9537066556646
11840460,605.9984633497108
11840490,606.042667592009
11840520,606.0863572280134
11840550,606.1295728831403
11840580,606.1723427408575
11840610,606.214695235066
11840640,606.2566575319645
11840670,606.2982550932066
11840700,606.3395116496873
11840730,606.3804493131951
11840760,606.4210887188057
11840790,606.4614491650766
11840820,606.5015487422604
11840850,606.5414044468849
11840880,606.5810322834591
11840910,606.6204473545322
11840940,606.6596639407996
11840970,606.6986955723027
11841000,606.7375550921753
11841030,606.776254713793
11841060,606.8148060722983
11841090,606.8532202711933
11841120,606.8915079246984
11841150,606.9296791964749
11841180,606.9677438350952
11841210,607.0057112067221
11841240,607.0435903255257
11841270,607.0813898817732
11841300,607.1191182683035
11841330,607.1567836052882
11841360,607.1943937637101
11841390,607.2319563875662
11841420,607.2694789150987
11841450,607.3069685990969
11841480,607.3444325265411
11841510,607.3818776374247
11841540,607.4193107432376
11841570,607.456738544814
11841600,607.4941676500189
11841630,607.531604590884
11841660,607.5690558408604
11841690,607.6065278315829
11841720,607.6440269698248
11841750,607.6815596542265
11841780,607.7191322921758
11841810,607.7567513166766
11841840,607.7944232033434
11841870,607.8321544875992
11841900,607.8699517819643
11841930,607.9078217936873
11841960,607.945771342427
11841990,607.9838073784553
11842020,608.0219370008407
11842050,608.060167476142
11842080,608.0985062572087
11842110,608.1369610023115
11842140,608.1755395944382
11842170,608.2142501608374
11842200,608.2531010926068
11842230,608.2921010643822
11842260,608.3312590540012
11842290,608.370584361974
11842320,608.4100866307431
11842350,608.4497749794492
11842380,608.4896613272384
11842410,608.5298116937565
11842440,608.5701445043312
11842470,608.6106917052158
11842500,608.6515227766827
11842530,608.692639979437
11842560,608.7339985411642
11842590,608.7756311068434
11842620,608.8175582148364
11842650,608.859721849792
11842680,608.9021572040454
11842710,608.9448382404827
11842740,608.9877792180382
11842770,609.0309496677287
11842800,609.0743673508957
11842830,609.1180187906077
11842860,609.1619812439185
11842890,609.2063050145831
11842920,609.2510337424313
11842950,609.2962096690115
11842980,609.34187027136
11843010,609.3880454597088
11843040,609.4347551046354
11843070,609.4820067817109
11843100,609.5297936737148
11843130,609.5780971638375
11843160,609.6269045706255
11843190,609.676217280413
11843220,609.7260505659968
