time,hvac_reaZonSou_CO2Zon_y
11836800,607.8667021985149
11836830,607.9413727799026
11836860,608.0156798086683
11836890,608.0896041113261
11836920,608.163158355697
11836950,608.2363565370985
11836980,608.3092139007166
11837010,608.3817457706358
11837040,608.4539672171719
11837070,608.5258933969947
11837100,608.5975377727357
11837130,608.6689140774499
11837160,608.7400356075619
11837190,608.8109150355435
11837220,608.8815645119101
11837250,608.9519957045914
11837280,609.0222197586168
11837310,609.0922472776361
11837340,609.162088342804
11837370,609.231752534977
11837400,609.3012489481098
11837430,609.3705862020742
11837460,609.4397724605814
11837490,609.5088154430574
11837520,609.5777224382421
11837550,609.6465003535484
11837580,609.7151557287052
11837610,609.7836947349336
11837640,609.8521231920142
11837670,609.920446596237
11837700,609.9886701422321
11837730,610.0567987381196
11837760,610.1248370211778
11837790,610.1927893759546
11837820,610.2606599521399
11837850,610.3284526803706
11837880,610.3961712870597
11837910,610.463819309122
11837940,610.5314001083249
11837970,610.5989168847825
11838000,610.6663726896951
11838030,610.733770437268
11838060,610.8011129163226
11838090,610.8684028009684
11838120,610.9356426608052
11838150,611.0028349703506
11838180,611.0699821178916
11838210,611.1370864137313
11838240,611.2041500977643
11838270,611.2711753466251
11838300,611.3381642800653
11838330,611.405118966897
11838360,611.4720414304004
11838390,611.5389336531732
11838420,611.6057975815005
11838450,611.6726351292397
11838480,611.7394481812631
11838510,611.8062385964249
11838540,611.8730082101392
11838570,611.9397588365497
11838600,612.0064922702608
11838630,612.0732102877638
11838660,612.1399146485657
11838690,612.2066070957763
11838720,612.2732893049936
11838750,612.3399635119415
11838780,612.4066310895751
11838810,612.4732931835825
11838840,612.539951733985
11838870,612.6066084367003
11838900,612.6732649563896
11838930,612.739922904626
11838960,612.8065838693769
11838990,612.8732494114386
11839020,612.9399210668345
11839050,613.0066003440248
11839080,613.0732887226224
11839110,613.1399876510054
11839140,613.2066985442415
11839170,613.2734227817595
11839200,613.3401617049876
11839230,613.4069166149294
11839260,613.4736887697377
11839290,613.540479382157
11839320,613.6072896170697
11839350,613.6741205889195
11839380,613.7409733592275
11839410,613.8078489340603
11839440,613.8747482614887
11839470,613.9416722267473
11839500,614.0086216490241
11839530,614.0755972796311
11839560,614.1425998006675
11839590,614.2096298236389
11839620,614.2766878880859
11839650,614.3437744593064
11839680,614.410889926841
11839710,614.4780346020709
11839740,614.5452087170505
11839770,614.6124124220976
11839800,614.6796457850987
11839830,614.7469087890938
11839860,614.8142013321257
11839890,614.881523224779
11839920,614.9488741907587
11839950,615.0162538641674
11839980,615.083661791117
11840010,615.1510974264683
11840040,615.2185601368844
11840070,615.2860491965599
11840100,615.3535637922892
11840130,615.421103017574
11840160,615.4886658805474
11840190,615.5562512952589
11840220,615.6238580941152
11840250,615.6914850143013
11840280,615.7591307171535
11840310,615.8267937667446
11840340,615.8944726599112
11840370,615.9621657922994
11840400,616.02987150488
11840430,616.0975872969983
11840460,616.165317491647
11840490,616.2330678020791
11840520,616.3008421430486
11840550,616.3686454080944
11840580,616.4364811896055
11840610,616.5043531436837
11840640,616.5722649473565
11840670,616.6402202100056
11840700,616.7082224370574
11840730,616.7762750233509
11840760,616.8443812548111
11840790,616.9125443130226
11840820,616.9807672806794
11840850,617.0490531473988
11840880,617.1174048156922
11840910,617.1858251068575
11840940,617.2543167669718
11840970,617.3228824726925
11841000,617.3915248371031
11841030,617.4602464154594
11841060,617.5290497108979
11841090,617.5979371800631
11841120,617.666911238693
11841150,617.7359742671993
11841180,617.8051286161528
11841210,617.8743766117225
11841240,617.9437205612314
11841270,618.0131627584692
11841300,618.0827054891915
11841330,618.1523510364856
11841360,618.2221016862219
11841390,618.2919597324297
11841420,618.361927482732
11841450,618.4320072637529
11841480,618.5022014266383
11841510,618.5725123524223
11841540,618.6429424576193
11841570,618.713494199653
11841600,618.7841700825195
11841630,618.8549726622223
11841660,618.9259045525682
11841690,618.99696843067
11841720,619.0681670427621
11841750,619.1395032098733
11841780,619.2109798336686
11841810,619.2825999022662
11841840,619.3543664961136
11841870,619.4262827939671
11841900,619.4983520788314
11841930,619.5705777440733
11841960,619.6429632993993
11841990,619.7155123771535
11842020,619.7882287383688
11842050,619.861116279115
11842080,619.9341790367278
11842110,620.0074211961623
11842140,620.0808470963308
11842170,620.1544612365367
11842200,620.2282682828478
11842230,620.3022730745294
11842260,620.3764806304843
11842290,620.4508961556201
11842320,620.5255250472276
11842350,620.6003735121172
11842380,620.6754473933099
11842410,620.7508136673034
11842440,620.8263758710917
11842470,620.9021632812918
11842500,620.9782422240227
11842530,621.0546089320372
11842560,621.1312147122808
11842590,621.2080911403758
11842620,621.2852607962902
11842650,621.362666279211
