time,hvac_reaAhu_TSup_y
11836800,285.0018219029412
11836830,285.0018219058772
11836860,285.0018235583482
11836890,285.00182363938285
11836920,285.0018237149357
11836950,285.0018238766379
11836980,285.00182407422426
11837010,285.0018242717379
11837040,285.0018244455272
11837070,285.00183373493235
11837100,285.0018373990597
11837130,285.0018354346908
11837160,285.0018295984754
11837190,285.00181969869044
11837220,285.001805744838
11837250,285.0017887206397
11837280,285.0017697106036
11837310,285.0017494022903
11837340,285.001728263053
11837370,285.00170673172767
11837400,285.00168519814866
11837430,285.001663941828
11837460,285.0016431484651
11837490,285.00162279977405
11837520,285.00160260389214
11837550,285.00158260504327
11837580,285.0015630764656
11837610,285.00154413306575
11837640,285.00152570090944
11837670,285.0015077003092
11837700,285.0014901127022
11837730,285.00147292232646
11837760,285.0014560800675
11837790,285.00143952392506
11837820,285.0014232048654
11837850,285.00140708311494
11837880,285.0013911186481
11837910,285.0013752705628
11837940,285.0013595027072
11837970,285.00134378542094
11838000,285.00132809454357
11838030,285.00131240856547
11838060,285.00129671148017
11838090,285.0012809912149
11838120,285.0012652409
11838150,285.0012494578646
11838180,285.0012336428664
11838210,285.001217801032
11838240,285.00120194013283
11838270,285.00118607201637
11838300,285.00117021127335
11838330,285.00115437453627
11838360,285.00113858155345
11838390,285.0011228536302
11838420,285.0011072144861
11838450,285.00109168877697
11838480,285.0010763029845
11838510,285.00106108470357
11838540,285.00104606200955
11838570,285.0010312646292
11838600,285.0010167219594
11838630,285.00100246401865
11838660,285.0009885216888
11838690,285.0009749250402
11838720,285.00096205971755
11838750,285.0009577711156
11838780,285.0009563406702
11838810,285.00094889316176
11838840,285.0009401305677
11838870,285.00093096702676
11838900,285.00092209207054
11838930,285.0009136380746
11838960,285.0009057004573
11838990,285.00089830829586
11839020,285.0008914946061
11839050,285.00088528167254
11839080,285.00087969391114
11839110,285.0008747533257
11839140,285.0008704819501
11839170,285.00086690141677
11839200,285.000864033022
11839230,285.00086189769604
11839260,285.0008605167311
11839290,285.00085991058484
11839320,285.00086010034613
11839350,285.0008611065767
11839380,285.0008629503651
11839410,285.00086565286136
11839440,285.0008692355865
11839470,285.00087372013115
11839500,285.00087912946674
11839530,285.0008854857034
11839560,285.0008928134523
11839590,285.0009011364608
11839620,285.0009104811262
11839650,285.00092087287845
11839680,285.00093234106413
