time,hvac_reaZonEas_CO2Zon_y
11836800,604.8660763453515
11836830,604.9238582672176
11836860,604.9818671773713
11836890,605.0401442954661
11836920,605.0987178029487
11836950,605.1576042541784
11836980,605.2168202091835
11837010,605.2763805904384
11837040,605.3362982699881
11837070,605.3965846212745
11837100,605.4572470408032
11837130,605.5182918723668
11837160,605.5797235393924
11837190,605.6415443609295
11837220,605.7037548369896
11837250,605.7663538416402
11837280,605.8293387002676
11837310,605.8927052995094
11837340,605.9564482496578
11837370,606.0205610471729
11837400,606.0850362183559
11837430,606.1498654554332
11837460,606.2150397525202
11837490,606.2805495260209
11837520,606.3463847321722
11837550,606.4125350263902
11837580,606.4789898595416
11837610,606.5457385444249
11837640,606.61277034032
11837670,606.6800745450483
11837700,606.7476405699208
11837730,606.8154579974629
11837760,606.8835166330466
11837790,606.9518065536383
11837820,607.0203181501793
11837850,607.0890421614421
11837880,607.1579697015138
11837910,607.2270922826594
11837940,607.2964018336262
11837970,607.3658907131328
11838000,607.4355517191321
11838030,607.5053780941563
11838060,607.5753635278721
11838090,607.6455021562734
11838120,607.7157885585234
11838150,607.7862177512914
11838180,607.8567851811678
11838210,607.9274867153356
11838240,607.9983186306501
11838270,608.069277601662
11838300,608.1403606872751
11838330,608.2115653166873
11838360,608.2828892745978
11838390,608.3543306857815
11838420,608.4258879992417
11838450,608.4975599720294
11838480,608.5693456528707
11838510,608.6412443656124
11838540,608.713255692672
11838570,608.7853794585072
11838600,608.8576157130904
11838630,608.9299647156188
11838660,609.0024269184806
11838690,609.075002951141
11838720,609.1476935006483
11838750,609.2205002885149
11838780,609.2934239059189
11838810,609.3664647622528
11838840,609.4396245611598
11838870,609.5129047575011
11838900,609.5863068599828
11838930,609.6598323889942
11838960,609.7334829098908
11838990,609.8072600179452
11839020,609.8811653324759
11839050,609.9552004838675
11839080,610.0293671033342
11839110,610.1036668115943
11839140,610.1781012085094
11839170,610.252671862851
11839200,610.3273803024864
11839230,610.4022280049219
11839260,610.4772163882712
11839290,610.5523468024376
11839320,610.6276205208258
11839350,610.703038732245
11839380,610.7786025332787
11839410,610.8543129209093
11839440,610.9301707854225
11839470,611.0061769002115
11839500,611.0823319207661
11839530,611.1586363762752
11839560,611.2350906642384
11839590,611.3116950447649
11839620,611.3884496359825
11839650,611.4653544086942
11839680,611.5424091825747
11839710,611.6196136207292
11839740,611.6969672257201
11839770,611.774469334479
11839800,611.8521191160203
11839830,611.9299155667508
11839860,612.0078575090856
11839890,612.0859435866777
11839920,612.1641722640254
11839950,612.242541821228
11839980,612.3210503549825
11840010,612.3996957724237
11840040,612.478475794056
11840070,612.5573879459514
11840100,612.6364295654082
11840130,612.7155977905815
11840160,612.7948895700501
11840190,612.874301648105
11840220,612.9538305806165
11840250,613.0334727129949
11840280,613.1132242058504
11840310,613.1930810013135
11840340,613.273038863887
11840370,613.353093328316
11840400,613.4332397641173
11840430,613.5134715612695
11840460,613.5937877296769
11840490,613.6741886181303
11840520,613.7546717482116
11840550,613.8352346624529
11840580,613.9158752639141
11840610,613.9965909464587
11840640,614.0773789717509
11840670,614.1582364926085
11840700,614.2391605626625
11840730,614.3201481579915
11840760,614.4011961989494
11840790,614.4823015709579
11840820,614.5634611436501
11840850,614.6446717885021
11840880,614.7259303950507
11840910,614.8072338855702
11840940,614.8885792286105
11840970,614.9699634510878
11841000,615.0513836493714
11841030,615.1328369992247
11841060,615.2143207647756
11841090,615.2958323065089
11841120,615.3773690883907
11841150,615.4589286842368
11841180,615.5405087832329
11841210,615.6221071947203
11841240,615.7037218525206
11841270,615.7853508183084
11841300,615.8669922846892
11841330,615.9486445775417
11841360,616.0303061579701
11841390,616.1119756236496
11841420,616.1936517097869
11841450,616.2753332895819
11841480,616.3570193744137
11841510,616.4387091133683
11841540,616.5204017926811
11841570,616.602096834529
11841600,616.6837937957589
11841630,616.765492365882
11841660,616.8471923652033
11841690,616.928893742113
11841720,617.0105965704477
11841750,617.0923010462292
11841780,617.1740074842461
11841810,617.2557163141807
11841840,617.3374280763941
11841870,617.419143417432
11841900,617.5008630850172
11841930,617.582587922842
11841960,617.664318864688
11841990,617.7460569285234
11842020,617.8278032097477
11842050,617.9095588743501
11842080,617.9913251513783
11842110,618.073103325053
11842140,618.1548947263201
11842170,618.2367007240059
11842200,618.3185227153405
11842230,618.4003621160381
11842260,618.4822203498711
11842290,618.5640988376416
11842320,618.6459989857123
11842350,618.7279251080888
11842380,618.809876440391
11842410,618.8918618452392
11842440,618.9738704466791
11842470,619.0559051888702
11842500,619.1379747886667
11842530,619.2200802335193
11842560,619.3022142221724
11842590,619.3843795940708
11842620,619.4665777703582
11842650,619.5487996341727
11842680,619.6310440993759
11842710,619.7132947437733
11842740,619.7955343534636
11842770,619.8777518492444
11842800,619.9599406868012
11842830,620.0421040167906
11842860,620.1242391989832
11842890,620.206349725825
11842920,620.2884420893937
11842950,620.3705245199293
11842980,620.4526060986112
11843010,620.5346957606827
11843040,620.6168011756808
11843070,620.698927491078
11843100,620.781075927882
11843130,620.8632437588944
11843160,620.9454293484837
11843190,621.0276343051077
11843220,621.1098632104267
11843250,621.1921226190263
11843280,621.2744198878797
11843310,621.3567620178853
11843340,621.4391545634086
11843370,621.5216006243633
11843400,621.6040999242343
11843430,621.6866479782248
11843460,621.769235320308
11843490,621.8518469730291
11843520,621.9344619148285
11843550,622.0170527773038
11843580,622.0995958521145
11843610,622.1820776439882
11843640,622.2644882719474
11843670,622.3468188697
11843700,622.4290607639136
11843730,622.5112054412695
11843760,622.593244606479
11843790,622.6751702138283
11843820,622.7569744722762
11843850,622.8386498374748
11843880,622.9201889997616
11843910,623.0015848724776
11843940,623.0828305824274
11843970,623.163919462977
11844000,623.2448450497002
11844030,623.3256049156093
11844060,623.4062026021955
11844090,623.4866440716329
11844120,623.5669363719815
11844150,623.6470876549212
11844180,623.7271044341766
11844210,623.8069945351685
