time,hvac_reaAhu_TRet_y
11836800,295.36314246711856
11836830,295.3631424680901
11836860,295.3631448309176
11836890,295.36314494306174
11836920,295.36314504824765
11836950,295.36314527740353
11836980,295.36314555823554
11837010,295.36314583912605
11837040,295.3631460860607
11837070,295.36315942193215
11837100,295.36316468072664
11837130,295.36316185744226
11837160,295.3631534748855
11837190,295.3631392577747
11837220,295.36311921931997
11837250,295.3630947724976
11837280,295.3630674741174
11837310,295.3630383119257
11837340,295.36300795661583
11837370,295.36297703824204
11837400,295.36294611677516
11837430,295.36291559366487
11837460,295.36288573516845
11837490,295.3628565152627
11837520,295.36282751500727
11837550,295.362798797582
11837580,295.3627707554968
11837610,295.36274355375406
11837640,295.36271708624247
11837670,295.3626912382085
11837700,295.36266598349096
11837730,295.3626412991538
11837760,295.362617114596
11837790,295.362593340986
11837820,295.36256990794203
11837850,295.36254675806777
11837880,295.36252383422914
11837910,295.3625010775965
11837940,295.36247843603826
11837970,295.36245586723777
11838000,295.3624333362519
11838030,295.3624108125326
11838060,295.36238827279396
11838090,295.36236569978433
11838120,295.3623430836352
11838150,295.3623204207306
11838180,295.3622977117716
11838210,295.3622749642413
11838240,295.3622521895501
11838270,295.3622294043699
11838300,295.36220662994276
11838330,295.3621838898791
11838360,295.36216121278665
11838390,295.36213862893595
11838420,295.3621161727812
11838450,295.3620938794213
11838480,295.3620717869349
11838510,295.3620499352108
11838540,295.36202836410735
11838570,295.36200711662093
11838600,295.36198623476787
11838630,295.3619657620525
11838660,295.36194574226136
11838690,295.3619262190376
11838720,295.3619059031616
11838750,295.36189913089606
11838780,295.3618968719432
11838810,295.3618845686535
11838840,295.3618700613802
11838870,295.36185488167604
11838900,295.36184017732444
11838930,295.3618261696491
11838960,295.3618130171773
11838990,295.3618007684358
11839020,295.36178947832923
11839050,295.36177918354105
11839080,295.3617699246506
11839110,295.3617617381487
11839140,295.36175466050463
11839170,295.3617487275446
11839200,295.36174397465027
11839230,295.3617404364194
11839260,295.3617381482116
11839290,295.36173714375286
11839320,295.3617374581411
11839350,295.3617391253685
11839380,295.361742180485
11839410,295.36174665840053
11839440,295.3617525949864
11839470,295.36176002559347
11839500,295.3617689888372
11839530,295.3617795208299
11839560,295.361791662828
11839590,295.36180545367387
11839620,295.36182093768133
11839650,295.36183815644756
11839680,295.36185715892776
11839710,295.36187799006643
11839740,295.36190070506217
11839770,295.361925351692
11839800,295.36195199306053
11839830,295.36198068083655
11839860,295.36201148694187
11839890,295.3620444672922
11839920,295.3620797046851
11839950,295.3621172582303
11839980,295.36215722502556
11840010,295.36219966547606
11840040,295.36224469539155
11840070,295.3622923731032
11840100,295.36234283869965
11840130,295.3623961441083
11840160,295.3624524618728
11840190,295.362511827496
11840220,295.362574460884
11840250,295.362640365797
11840280,295.36270983031335
11840310,295.3627828017345
11840340,295.3628596690807
11840370,295.36294028493404
11840400,295.363025188972
11840430,295.36304428264174
11840460,295.3630342846599
11840490,295.3630348763621
11840520,295.3630358081674
11840550,295.3630390096276
11840580,295.3630457871137
11840610,295.3630540151654
11840640,295.3630628192096
11840670,295.36307196474957
11840700,295.3630813788706
11840730,295.363091040213
11840760,295.3631009441773
11840790,295.3631110921658
11840820,295.36312148675603
11840850,295.3631321297245
11840880,295.3631430224634
11840910,295.363154164032
11840940,295.3631655532184
11840970,295.3631771861738
11841000,295.363189057868
11841030,295.36320116097386
11841060,295.363213485726
11841090,295.36322602049734
11841120,295.363238750425
11841150,295.3632516578445
11841180,295.36326472263295
11841210,295.3632779198661
11841240,295.3632912221428
11841270,295.3633045974442
11841300,295.363318009317
11841330,295.36333141678233
11841360,295.36334477331485
11841390,295.36335802746385
11841420,295.3633711213507
11841450,295.3633839905995
11841480,295.36339656425645
11841510,295.36340876370275
11841540,295.3634205026959
11841570,295.36343168613547
11841600,295.3634422103128
11841630,295.36345196150575
11841660,295.3634608162769
11841690,295.3634686400587
11841720,295.36347528717505
11841750,295.363480600055
11841780,295.3634844086193
11841810,295.3634865300643
11841840,295.363486767216
11841870,295.36348491123545
11841900,295.36348073678863
11841930,295.36347400643905
11841960,295.36346446641824
11841990,295.3634518510586
11842020,295.36343587909255
11842050,295.3634162574174
11842080,295.363392679513
11842110,295.36336482860224
11842140,295.3633323775466
11842170,295.36329499257226
11842200,295.36325233316666
11842230,295.3632040575065
11842260,295.36314982390365
11842290,295.36308929555065
11842320,295.36302214379424
11842350,295.36301026892914
