time,hvac_reaZonCor_CO2Zon_y
11836800,603.5610413337233
11836830,603.6247100172851
11836860,603.6885594235
11836890,603.7525967084424
11836920,603.8168123199454
11836950,603.8811960947397
11836980,603.9457365156704
11837010,604.0104216037786
11837040,604.0752392540531
11837070,604.1401779461976
11837100,604.2052251206684
11837130,604.2703691418402
11837160,604.3355993493848
11837190,604.4009054781894
11837220,604.4662779413376
11837250,604.5317079657045
11837280,604.5971875860237
11837310,604.662709649587
11837340,604.7282678560264
11837370,604.7938567862641
11837400,604.8594719055678
11837430,604.9251095545934
11837460,604.9907669378675
11837490,605.0564420964372
11837520,605.1221338776128
11837550,605.1878419492658
11837580,605.253566758375
11837610,605.3193094664338
11837640,605.3850719084008
11837670,605.4508565654301
11837700,605.5166665281041
11837730,605.5825054501724
11837760,605.6483775036402
11837790,605.714287338257
11837820,605.780240041836
11837850,605.8462410992885
11837880,605.9122963520757
11837910,605.9784119595253
11837940,606.0445943617731
11837970,606.1108502437518
11838000,606.1771865003747
11838030,606.2436102030194
11838060,606.3101285678312
11838090,606.3767489252142
11838120,606.4434786909175
11838150,606.5103253383791
11838180,606.5772963725657
11838210,606.6443993051513
11838240,606.7116416309784
11838270,606.7790308059357
11838300,606.8465742258617
11838330,606.9142792067788
11838360,606.9821529662438
11838390,607.0502026057734
11838420,607.1184350942868
11838450,607.1868572525716
11838480,607.2554757387104
11838510,607.3242970343515
11838540,607.3933274318948
11838570,607.4625730224733
11838600,607.5320396846313
11838630,607.6017330738513
11838660,607.6716586127575
11838690,607.7418214818028
11838720,607.8122264585389
11838750,607.8828790165952
11838780,607.9537831057257
11838810,608.024942104998
11838840,608.0963602771878
11838870,608.1680412689425
11838900,608.2399884156681
11838930,608.3122047085457
11838960,608.3846928352349
11838990,608.4574551732388
11839020,608.5304937921644
11839050,608.6038104490461
11839080,608.6774065862932
11839110,608.7512833285224
11839140,608.8254414802722
11839170,608.8998815237984
11839200,608.9746036172123
11839230,609.0496075928402
11839260,609.1248929559962
11839290,609.2004588838399
11839320,609.2763042246582
11839350,609.352427497292
11839380,609.4288268908891
11839410,609.5055002648458
11839440,609.5824451489901
11839470,609.6596587416205
11839500,609.7371378734226
11839530,609.8148790446073
11839560,609.8928784587745
11839590,609.9711320040014
11839620,610.0496352481815
11839650,610.128383438099
11839680,610.2073715012027
11839710,610.2865940469588
11839740,610.3660453700915
11839770,610.4457194522555
11839800,610.5256099660154
11839830,610.6057102765373
11839860,610.6860134463855
11839890,610.7665122371868
11839920,610.8471991154292
11839950,610.9280662537932
11839980,611.0091055383252
11840010,611.0903085689994
11840040,611.1716666688075
11840070,611.2531708828723
11840100,611.3348119902356
11840130,611.4165805006512
11840160,611.4984666701947
11840190,611.5804604941404
11840220,611.6625517286157
11840250,611.7447298768046
11840280,611.8269842199466
11840310,611.9093037928434
11840340,611.9916774292926
11840370,612.0740937205461
11840400,612.1565410831159
11840430,612.2390070040954
11840460,612.3214800228051
11840490,612.403952038786
11840520,612.4864138136419
11840550,612.5688567831775
11840580,612.651275360009
11840610,612.7336639877421
11840640,612.8160177499856
11840670,612.8983324193283
11840700,612.9806044219338
11840730,613.0628307936316
11840760,613.1450091343296
11840790,613.2271375653052
11840820,613.3092146903737
11840850,613.3912395611128
11840880,613.4732116458687
11840910,613.5551308019308
11840940,613.6369972507882
11840970,613.7188115557193
11841000,613.8005746017648
11841030,613.8822875775726
11841060,613.9639519589947
11841090,614.0455694941913
11841120,614.1271421900406
11841150,614.2086722998051
11841180,614.2901623117938
11841210,614.3716149389031
11841240,614.4530331091987
11841270,614.5344199569638
11841300,614.6157788146376
11841330,614.6971132052294
11841360,614.7784268353363
11841390,614.8597235885964
11841420,614.9410075195891
11841450,615.0222828481117
11841480,615.1035539538915
11841510,615.1848253714372
11841540,615.2661017853707
11841570,615.3473880258126
11841600,615.4286890641968
11841630,615.510010009009
11841660,615.5913561020179
11841690,615.6727327143095
11841720,615.7541453427139
11841750,615.8355996061347
11841780,615.917101242067
11841810,615.998656103099
11841840,616.0802701534197
11841870,616.1619494654524
11841900,616.2437002162479
11841930,616.325528684107
11841960,616.4074412448125
11841990,616.4894443681634
11842020,616.5715446139869
11842050,616.6537486283684
11842080,616.7360631394827
11842110,616.8184949534016
11842140,616.9010509495977
11842170,616.9837380763544
11842200,617.0665633457952
11842230,617.149533828796
11842260,617.2326566495606
11842290,617.3159389799162
11842320,617.3993880333273
11842350,617.4830119584482
11842380,617.5668179421872
11842410,617.6508660473285
11842440,617.7350778222863
11842470,617.8194778206945
11842500,617.9041245154558
11842530,617.9890087085813
11842560,618.074066190316
11842590,618.1592925332782
11842620,618.2446736164824
11842650,618.3301602348661
11842680,618.4157600271167
11842710,618.5014584000905
11842740,618.5872509790979
11842770,618.6731081279696
11842800,618.7590139331616
11842830,618.844949902869
11842860,618.9309120299529
11842890,619.01689175937
11842920,619.1028807152366
11842950,619.1888711209994
11842980,619.2748560400968
11843010,619.3608293612892
11843040,619.4467856826292
11843070,619.5327201486942
11843100,619.6186282610934
11843130,619.7045057086776
11843160,619.7903483576255
11843190,619.8761523593092
11843220,619.9619142874944
11843250,620.0476312600055
11843280,620.1333010238168
11843310,620.2189219954081
11843340,620.3044932566348
11843370,620.3900145088925
11843400,620.4754859885608
11843430,620.5609083466273
11843460,620.6462822820798
11843490,620.7316087523981
11843520,620.8168886921229
11843550,620.9021226982709
11843580,620.9873106883883
11843610,621.0724523493661
11843640,621.1575475320038
11843670,621.242593819322
11843700,621.3275860006083
11843730,621.4125168664059
11843760,621.4973777664616
11843790,621.5821588925781
11843820,621.6668494174144
11843850,621.7514375751816
11843880,621.8359107246894
11843910,621.9202554107338
11843940,622.0044574291047
11843970,622.0885018961359
11844000,622.1723733221602
11844030,622.256056093277
11844060,622.339534351211
11844090,622.4227914992789
11844120,622.5058109503902
11844150,622.5885771214938
11844180,622.6710728257835
11844210,622.7532828432077
11844240,622.8351934429231
11844270,622.916792160863
11844300,622.9980679045912
11844330,623.0790109938038
11844360,623.1596132176796
11844390,623.2398678995748
11844420,623.3197699420786
11844450,623.3993158501344
11844480,623.4785037383537
11844510,623.5573333253965
11844540,623.6358059163833
11844570,623.7139243749176
11844600,623.7916930868412
11844630,623.8691179168524
11844660,623.9462061590986
11844690,624.0229664825442
11844720,624.0994088718473
11844750,624.1755445638461
11844780,624.2513859802735
11844810,624.3269466566502
11844840,624.4022411674559
11844870,624.4772850479841
11844900,624.5520947129712
11844930,624.6266878157643
11844960,624.7010918744768
11844990,624.7753067581093
11845020,624.8493843876358
11845050,624.9233299975023
11845080,624.9971627248318
11845110,625.0709044962911
11845140,625.1445458082601
11845170,625.218105858411
11845200,625.2915798626841
11845230,625.3649533276132
11845260,625.4382178780613
11845290,625.5113695760595
11845320,625.5844073352777
11845350,625.657332751308
11845380,625.7301500996701
11845410,625.8028658006066
11845440,625.8754874605922
11845470,625.9480234550783
11845500,626.0204821237941
11845530,626.0928721090717
11845560,626.1652068018043
11845590,626.2375030550173
11845620,626.3097800266902
11845650,626.3820575776468
11845680,626.4543538375827
11845710,626.5266528477883
11845740,626.5989112920226
11845770,626.6710716165197
11845800,626.7430706109246
11845830,626.8148435999033
11845860,626.8863262620546
11845890,626.9574553968945
11845920,627.0281692974531
11845950,627.0984080007235
11845980,627.1681135137759
11846010,627.2372300414781
11846040,627.3057042150942
11846070,627.373485337032
11846100,627.4405255604527
11846130,627.5067800398017
11846160,627.5722070857508
11846190,627.6367682898061
11846220,627.7004286094005
11846250,627.7631571454934
11846280,627.8249245520233
11846310,627.8857046764244
11846340,627.9454764331012
11846370,628.004222379419
11846400,628.0619279046241
11846430,628.1185810639173
11846460,628.1741727568666
11846490,628.2286967520849
11846520,628.2821494519934
11846550,628.3345295961062
11846580,628.3858380732029
11846610,628.4360778318545
11846640,628.4852537831545
11846670,628.5333726370407
11846700,628.5804427019941
11846730,628.6264737076606
11846760,628.6714766730721
11846790,628.715463796216
11846820,628.7584483322768
11846850,628.8004444545071
11846880,628.8414671165712
11846910,628.8815319362953
11846940,628.9206551017688
11846970,628.9588532859335
11847000,628.9961435569627
11847030,629.0325432859253
11847060,629.0680700617039
11847090,629.1027416208569
11847120,629.1365757905387
11847150,629.1695904359003
11847180,629.2018034068298
11847210,629.2332324851043
11847240,629.2638952931405
11847270,629.2938091513552
11847300,629.3229913052655
11847330,629.351460509023
11847360,629.3792335813062
11847390,629.4063268452776
11847420,629.4327590951704
11847450,629.4585440642688
11847480,629.4836966002438
11847510,629.5082318795952
11847540,629.5321649902265
11847570,629.555510791419
11847600,629.5782838693932
11847630,629.6004989147981
11847660,629.6221713076931
11847690,629.6433173758155
11847720,629.663954405756
11847750,629.6841007648194
11847780,629.7037746225094
11847810,629.7229956596793
11847840,629.7417838614056
11847870,629.7601593640961
11847900,629.7781424686542
11847930,629.7957535873626
11847960,629.8130131761695
11847990,629.8299416593755
11848020,629.846559318119
11848050,629.8628863945511
11848080,629.8789430117918
11848110,629.8947491290663
11848140,629.9103245104335
11848170,629.9256887002763
11848200,629.940861008659
11848230,629.9558604946245
11848260,629.9707059525492
11848290,629.9854159012752
11848320,630.0000085747654
11848350,630.0145019144712
11848380,630.0289135628713
11848410,630.0432608581938
11848440,630.0575608300422
11848470,630.0718301958085
11848500,630.0860853578384
11848530,630.1003424011294
11848560,630.1146170916859
11848590,630.1289248757906
11848620,630.1432808780949
11848650,630.1576999008389
11848680,630.1721964242981
11848710,630.1867846068903
11848740,630.2014782851002
11848770,630.2162909740072
