time,hvac_reaZonNor_TZon_y
11836800,295.84021136018504
11836830,295.84038175624113
11836860,295.8405707264767
11836890,295.8407795167792
11836920,295.84100768262374
11836950,295.8412546277392
11836980,295.84151970397176
11837010,295.84180226964577
11837040,295.84210171010466
11837070,295.8424174717602
11837100,295.8427489771099
11837130,295.8430957345204
11837160,295.84345729884734
11837190,295.8438332611477
11837220,295.8442232522881
11837250,295.84462694196554
11837280,295.8450440328907
11837310,295.84547425594866
11837340,295.8459173671947
11837370,295.8463731448795
11837400,295.8468413859661
11837430,295.8473219026985
11837460,295.84781451958185
11837490,295.84831907036045
11837520,295.84883539559513
11837550,295.84936334217076
11837580,295.84990276086165
11837610,295.8504535033611
11837640,295.8510154205887
11837670,295.85158836179767
11837700,295.85217217350817
11837730,295.85276669825777
11837760,295.85337177358167
11837790,295.8539872313072
11837820,295.85461289698816
11837850,295.8552485893665
11837880,295.85589411991674
11837910,295.8565492925104
11837940,295.8572139031723
11837970,295.8578877398901
11838000,295.85857058247325
11838030,295.8592622024513
11838060,295.85996236302947
11838090,295.86067081906157
11838120,295.8613873170569
11838150,295.86211159519956
11838180,295.8628433833868
11838210,295.8635824032786
11838240,295.8643283683526
11838270,295.8650809839717
11838300,295.8658399474458
11838330,295.8666049481004
11838360,295.86737566734695
11838390,295.86815177875076
11838420,295.86893294809886
11838450,295.8697188334681
11838480,295.8705090852937
11838510,295.8713033464365
11838540,295.8721012522529
11838570,295.87290243066695
11838600,295.87370650224204
11838630,295.87451308026175
11838660,295.87532177081687
11838690,295.87613217289015
11838720,295.87694387863223
11838750,295.8777564962481
11838780,295.8785695860773
11838810,295.8793826933428
11838840,295.8801953982167
11838870,295.8810072626923
11838900,295.8818178417587
11838930,295.88262668268214
11838960,295.88343332688817
11838990,295.88423731014757
11839020,295.8850381630818
11839050,295.885835411427
11839080,295.88662857640657
11839110,295.887417175079
11839140,295.8882007207365
11839170,295.8889787233245
11839200,295.8897506898939
11839230,295.8905161250843
11839260,295.8912745316418
11839290,295.89202541096313
11839320,295.89276826367814
11839350,295.8935025902586
11839380,295.8942278916626
11839410,295.89494367000617
11839440,295.89564942926364
11839470,295.8963446758829
11839500,295.8970289197344
11839530,295.8977016748223
11839560,295.8983624601023
11839590,295.8990108002991
11839620,295.8996462267778
11839650,295.9002682783956
11839680,295.9008765024107
11839710,295.9014704553562
11839740,295.90204970398247
11839770,295.902613826139
11839800,295.90316241174787
11839830,295.9036950636859
11839860,295.90421139878407
11839890,295.9047110486988
11839920,295.9051936609373
11839950,295.9056588996965
11839980,295.9061064469222
11840010,295.9065360030923
11840040,295.9069472883249
11840070,295.90734004307484
11840100,295.9077140293168
11840130,295.9080690311177
11840160,295.9084048559382
11840190,295.9087213350136
11840220,295.9090183248649
11840250,295.9092957073754
11840280,295.9095533916471
11840310,295.9097913136102
11840340,295.9100094384355
11840370,295.9102077594197
11840400,295.9103863012839
11840430,295.9105459279333
11840460,295.9106900552213
11840490,295.9108223745581
11840520,295.9109461499369
11840550,295.911064721372
11840580,295.9111803298026
11840610,295.91129518949475
11840640,295.9114113618785
11840670,295.91153072883884
11840700,295.9116549997849
11840730,295.91178572874225
11840760,295.911924332803
11840790,295.9120721093072
11840820,295.9122302510858
11840850,295.9123998597596
11840880,295.9125819572758
11840910,295.9127774958968
11840940,295.9129873668625
11840970,295.9132124079007
11841000,295.91345340976056
11841030,295.91371112190143
11841060,295.91398625745904
11841090,295.9142794975884
11841120,295.9145914952721
11841150,295.9149228786687
11841180,295.9152742540592
11841210,295.91564620844787
11841240,295.9160393118698
11841270,295.9164541194255
11841300,295.91689117309767
11841330,295.9173510033594
11841360,295.91783413060966
11841390,295.9183410664462
11841420,295.91887231479916
11841450,295.919428372934
11841480,295.9200097323422
11841510,295.92061687951326
11841540,295.921250296617
11841570,295.92191046207773
11841600,295.92259785106705
11841630,295.9233129358928
11841660,295.92405618631506
11841690,295.9248280697563
11841720,295.92562905143535
11841750,295.92645959440057
11841780,295.9273201594746
11841810,295.9282112050987
11841840,295.9291331870764
11841870,295.9300865582153
11841900,295.93107176785384
11841930,295.9320892612814
11841960,295.93313947902857
11841990,295.9342228560495
11842020,295.9353398207601
11842050,295.9364907939592
11842080,295.9376761876066
11842110,295.9388964034705
11842140,295.9401518316356
11842170,295.94144284888165
11842200,295.9427698169256
11842230,295.94413308054123
11842260,295.94553296556376
11842290,295.94696977678444
11842320,295.94844379575824
11842350,295.94995534001106
11842380,295.9515046187755
11842410,295.95310105130415
11842440,295.9547284641223
11842470,295.95639112964926
11842500,295.95809807013535
11842530,295.9597400710902
11842560,295.96121004984116
11842590,295.9625115426176
11842620,295.96365735237464
11842650,295.96469459426055
11842680,295.9656133480546
11842710,295.96642413755205
11842740,295.9671254585435
11842770,295.96774309711196
11842800,295.9682880993981
11842830,295.9687800101209
11842860,295.96921550330075
11842890,295.96959895367985
11842920,295.96993562384677
11842950,295.9702304994188
11842980,295.97048808605547
11843010,295.9707123841157
11843040,295.9709069183333
11843070,295.97107478125315
11843100,295.97121867677544
11843130,295.9713409927129
11843160,295.97144393801017
11843190,295.9715294844728
11843220,295.97159935928516
11843250,295.97165507236156
11843280,295.97169794216825
11843310,295.9717291184567
11843340,295.97174960246105
11843370,295.97176026481446
11843400,295.97176186141013
11843430,295.97175504745377
11843460,295.9717403886875
11843490,295.97171837544806
11843520,295.97168943080857
11843550,295.97165391994486
11843580,295.97161236553995
11843610,295.9715653138724
11843640,295.97151308537326
11843670,295.971455932726
11843700,295.9713940364756
11843730,295.9713274980507
11843760,295.97125634494085
11843790,295.9711805420843
11843820,295.97110000507007
11843850,295.97101461277754
11843880,295.97092421842325
11843910,295.9708286587331
11843940,295.9707277613212
11843970,295.97062135048935
11844000,295.97050925169344
11844030,295.9703909202738
11844060,295.97026582903794
11844090,295.9701338837123
11844120,295.9699950634277
11844150,295.96984940781323
11844180,295.96969693881056
11844210,295.96953776078675
11844240,295.9693720157145
11844270,295.9691998792613
11844300,295.96902155689924
11844330,295.9688372783494
11844360,295.96864729353234
11844390,295.9684518696914
11844420,295.96825128869364
11844450,295.9680458443722
11844480,295.96783584005937
11844510,295.9676215863467
11844540,295.9674033990373
11844570,295.9671815972946
11844600,295.9669565020086
11844630,295.9667284343759
11844660,295.9664977146951
11844690,295.9662646613794
11844720,295.96602959018594
11844750,295.9657928136544
11844780,295.965554640769
11844810,295.9653153768432
11844840,295.96507532363273
11844870,295.96483477970855
11844900,295.9645940410977
11844930,295.96435341339014
11844960,295.9641136452245
11844990,295.96387496029206
11845020,295.96363733174906
11845050,295.9634012600954
11845080,295.9631670702802
11845110,295.96293514526417
11845140,295.96270629918394
11845170,295.96247978794895
11845200,295.96225517316907
11845230,295.96203315412765
11845260,295.9618141929994
11845290,295.9615986904077
11845320,295.9613870114582
11845350,295.9611794038981
11845380,295.96097595678043
11845410,295.96077652517437
11845440,295.96058069091487
11845470,295.96038845219203
11845500,295.9602000769248
11845530,295.9600154965264
11845560,295.9598343065701
11845590,295.95965582250693
11845620,295.95947913906986
11845650,295.9593032019863
11845680,295.95912729737364
11845710,295.9585768756253
11845740,295.9574655512183
11845770,295.9557813271187
11845800,295.9535688463674
11845830,295.9508886544687
11845860,295.94780320141706
11845890,295.94437210241796
11845920,295.9406506032049
11845950,295.9366891635417
11845980,295.9325334438055
11846010,295.9282244497865
11846040,295.9237987498932
11846070,295.9192887323908
11846100,295.9147228844087
