timestamp,hvac_reaZonEas_V_flow_y
2024-01-01 00:00:00,-4.2774969138213983e-08
2024-01-01 00:00:30,-4.2305420907567926e-08
2024-01-01 00:01:00,-4.1744584509685745e-08
2024-01-01 00:01:30,-4.1144039970730254e-08
2024-01-01 00:02:00,-4.050665286483637e-08
2024-01-01 00:02:30,-3.9829148290139793e-08
2024-01-01 00:03:00,-3.912790085237515e-08
2024-01-01 00:03:30,-3.841150721725119e-08
2024-01-01 00:04:00,-3.768692658589856e-08
2024-01-01 00:04:30,-3.6957433873447465e-08
2024-01-01 00:05:00,-3.6223847805749655e-08
2024-01-01 00:05:30,-3.5495174396709764e-08
2024-01-01 00:06:00,-3.4770185545052264e-08
2024-01-01 00:06:30,-3.4051337429304154e-08
2024-01-01 00:07:00,-3.3339448769436374e-08
2024-01-01 00:07:30,-3.263533828506739e-08
2024-01-01 00:08:00,-3.1941052788218504e-08
2024-01-01 00:08:30,-3.1255773540911226e-08
2024-01-01 00:09:00,-3.0579909898127484e-08
2024-01-01 00:09:30,-2.9911824394456514e-08
2024-01-01 00:10:00,-2.9255610662011847e-08
2024-01-01 00:10:30,-2.8605537595425092e-08
2024-01-01 00:11:00,-2.7964880099015843e-08
2024-01-01 00:11:30,-2.7333228800729088e-08
2024-01-01 00:12:00,-2.6709764964998048e-08
2024-01-01 00:12:30,-2.609489794829264e-08
2024-01-01 00:13:00,-2.5488218379536842e-08
2024-01-01 00:13:30,-2.4888907524248145e-08
2024-01-01 00:14:00,-2.4296965375883157e-08
2024-01-01 00:14:30,-2.3712801291766932e-08
2024-01-01 00:15:00,-2.313641526559985e-08
2024-01-01 00:15:30,-2.256576047312908e-08
2024-01-01 00:16:00,-2.2003702454032345e-08
2024-01-01 00:16:30,-2.144778502094341e-08
2024-01-01 00:17:00,-2.0898417532114803e-08
2024-01-01 00:17:30,-2.0356009345811028e-08
2024-01-01 00:18:00,-1.9820560456843562e-08
2024-01-01 00:18:30,-1.9291252133278717e-08
2024-01-01 00:19:00,-1.8768903097189705e-08
2024-01-01 00:19:30,-1.8252694617011796e-08
2024-01-01 00:20:00,-1.774467350503051e-08
2024-01-01 00:20:30,-1.7241564849805527e-08
2024-01-01 00:21:00,-1.674582482714357e-08
2024-01-01 00:21:30,-1.625704406938319e-08
2024-01-01 00:22:00,-1.5774403845822248e-08
2024-01-01 00:22:30,-1.5299132242243954e-08
2024-01-01 00:23:00,-1.4830001164986616e-08
2024-01-01 00:23:30,-1.4367829336731053e-08
2024-01-01 00:24:00,-1.3912207390581247e-08
2024-01-01 00:24:30,-1.3463544686137973e-08
2024-01-01 00:25:00,-1.3022659946162478e-08
2024-01-01 00:25:30,-1.2587096988472274e-08
2024-01-01 00:26:00,-1.2158493262385482e-08
2024-01-01 00:26:30,-1.1736848764721817e-08
2024-01-01 00:27:00,-1.1321754129347369e-08
2024-01-01 00:27:30,-1.0914028079426617e-08
2024-01-01 00:28:00,-1.051203315993516e-08
