timestamp,hvac_reaZonWes_CO2Zon_y
2024-01-01 00:00:00,605.9840334356643
2024-01-01 00:00:30,606.0014442952557
2024-01-01 00:01:00,606.012458241099
2024-01-01 00:01:30,606.0167999557119
2024-01-01 00:02:00,606.0147761856624
2024-01-01 00:02:30,606.0067072611222
2024-01-01 00:03:00,605.9929495547245
2024-01-01 00:03:30,605.9738691220648
2024-01-01 00:04:00,605.9498336130416
2024-01-01 00:04:30,605.9212100602123
2024-01-01 00:05:00,605.8883559177366
2024-01-01 00:05:30,605.8516269388206
2024-01-01 00:06:00,605.8113682035861
2024-01-01 00:06:30,605.767915996227
2024-01-01 00:07:00,605.7215966392351
2024-01-01 00:07:30,605.6727256954363
2024-01-01 00:08:00,605.621607313211
2024-01-01 00:08:30,605.5685337619944
2024-01-01 00:09:00,605.5137851425753
2024-01-01 00:09:30,605.4576292173684
2024-01-01 00:10:00,605.4003213329812
2024-01-01 00:10:30,605.3421044295371
2024-01-01 00:11:00,605.2832091299773
2024-01-01 00:11:30,605.2238538926496
2024-01-01 00:12:00,605.1642452296699
2024-01-01 00:12:30,605.1045779971482
2024-01-01 00:13:00,605.0450356837589
2024-01-01 00:13:30,604.9857907129973
2024-01-01 00:14:00,604.9270047835438
2024-01-01 00:14:30,604.8688292357236
2024-01-01 00:15:00,604.8114054234887
2024-01-01 00:15:30,604.754865087334
2024-01-01 00:16:00,604.6993307310298
2024-01-01 00:16:30,604.6449160008801
2024-01-01 00:17:00,604.5917260625383
2024-01-01 00:17:30,604.5398579715571
2024-01-01 00:18:00,604.4894010369355
2024-01-01 00:18:30,604.4404371770149
2024-01-01 00:19:00,604.3930412663431
2024-01-01 00:19:30,604.3472814722244
2024-01-01 00:20:00,604.303219580435
2024-01-01 00:20:30,604.2609113094851
2024-01-01 00:21:00,604.2204066137001
2024-01-01 00:21:30,604.1817499742367
2024-01-01 00:22:00,604.1449806785213
2024-01-01 00:22:30,604.1101330877837
2024-01-01 00:23:00,604.0772368929825
2024-01-01 00:23:30,604.0463173592593
2024-01-01 00:24:00,604.017395559051
2024-01-01 00:24:30,603.9904885943844
2024-01-01 00:25:00,603.9656098082313
2024-01-01 00:25:30,603.9427689856035
2024-01-01 00:26:00,603.9219725445662
2024-01-01 00:26:30,603.9032237174855
2024-01-01 00:27:00,603.8865227229317
2024-01-01 00:27:30,603.8718669285346
2024-01-01 00:28:00,603.8592510051873
2024-01-01 00:28:30,603.848667072906
2024-01-01 00:29:00,603.8401048387348
2024-01-01 00:29:30,603.8335517270158
2024-01-01 00:30:00,603.8289930023291
2024-01-01 00:30:30,603.8264118854858
2024-01-01 00:31:00,603.8257896629779
2024-01-01 00:31:30,603.8271057898359
2024-01-01 00:32:00,603.8303383138135
2024-01-01 00:32:30,603.8354636411252
2024-01-01 00:33:00,603.8424558400344
2024-01-01 00:33:30,603.8512873230723
2024-01-01 00:34:00,603.8619300418729
2024-01-01 00:34:30,603.8743543677937
2024-01-01 00:35:00,603.8885293950625
2024-01-01 00:35:30,603.9044229808544
2024-01-01 00:36:00,603.9220018384266
2024-01-01 00:36:30,603.941231590208
2024-01-01 00:37:00,603.9620768241107
2024-01-01 00:37:30,603.9845011410449
2024-01-01 00:38:00,604.0084672012126
2024-01-01 00:38:30,604.0339367665114
2024-01-01 00:39:00,604.060870740793
2024-01-01 00:39:30,604.0892292075359
2024-01-01 00:40:00,604.1189714653541
2024-01-01 00:40:30,604.1500560614775
2024-01-01 00:41:00,604.1824408234337
2024-01-01 00:41:30,604.2160828889563
2024-01-01 00:42:00,604.2509387345239
2024-01-01 00:42:30,604.2869642024493
2024-01-01 00:43:00,604.3241145268809
2024-01-01 00:43:30,604.3623443587242
2024-01-01 00:44:00,604.4016077896492
2024-01-01 00:44:30,604.4418583727863
2024-01-01 00:45:00,604.4830491491974
2024-01-01 00:45:30,604.5251326681082
2024-01-01 00:46:00,604.5680610094765
2024-01-01 00:46:30,604.611785805871
2024-01-01 00:47:00,604.6562582645755
2024-01-01 00:47:30,604.7014291889697
2024-01-01 00:48:00,604.7472490008352
2024-01-01 00:48:30,604.7936677619048
2024-01-01 00:49:00,604.8406351968869
2024-01-01 00:49:30,604.8881007154849
