timestamp,hvac_reaZonNor_TZon_y
2024-01-01 00:00:00,22.69021136018506
2024-01-01 00:00:30,22.69038175624121
2024-01-01 00:01:00,22.69057072647672
2024-01-01 00:01:30,22.69077951677923
2024-01-01 00:02:00,22.691007682623763
2024-01-01 00:02:30,22.691254627739227
2024-01-01 00:03:00,22.691519703971778
2024-01-01 00:03:30,22.69180226964579
2024-01-01 00:04:00,22.69210171010468
2024-01-01 00:04:30,22.692417471760223
2024-01-01 00:05:00,22.692748977109943
2024-01-01 00:05:30,22.693095734520398
2024-01-01 00:06:00,22.693457298847363
2024-01-01 00:06:30,22.693833261147745
2024-01-01 00:07:00,22.69422325228811
2024-01-01 00:07:30,22.694626941965566
2024-01-01 00:08:00,22.695044032890735
2024-01-01 00:08:30,22.69547425594868
2024-01-01 00:09:00,22.69591736719474
2024-01-01 00:09:30,22.696373144879544
2024-01-01 00:10:00,22.696841385966138
2024-01-01 00:10:30,22.697321902698548
2024-01-01 00:11:00,22.69781451958187
2024-01-01 00:11:30,22.69831907036047
2024-01-01 00:12:00,22.69883539559521
2024-01-01 00:12:30,22.69936334217084
2024-01-01 00:13:00,22.699902760861676
2024-01-01 00:13:30,22.700453503361132
2024-01-01 00:14:00,22.701015420588703
2024-01-01 00:14:30,22.70158836179769
2024-01-01 00:15:00,22.70217217350819
2024-01-01 00:15:30,22.70276669825779
2024-01-01 00:16:00,22.703371773581694
2024-01-01 00:16:30,22.703987231307224
2024-01-01 00:17:00,22.70461289698818
2024-01-01 00:17:30,22.705248589366533
2024-01-01 00:18:00,22.705894119916763
2024-01-01 00:18:30,22.70654929251043
2024-01-01 00:19:00,22.707213903172317
2024-01-01 00:19:30,22.70788773989011
2024-01-01 00:20:00,22.70857058247327
2024-01-01 00:20:30,22.709262202451328
2024-01-01 00:21:00,22.70996236302949
2024-01-01 00:21:30,22.710670819061647
2024-01-01 00:22:00,22.711387317056904
2024-01-01 00:22:30,22.712111595199644
2024-01-01 00:23:00,22.712843383386826
2024-01-01 00:23:30,22.71358240327862
2024-01-01 00:24:00,22.714328368352596
2024-01-01 00:24:30,22.715080983971745
2024-01-01 00:25:00,22.71583994744583
