timestamp,hvac_reaAhu_V_flow_sup_y
2024-01-01 00:00:00,7.350004732817495e-08
2024-01-01 00:00:30,7.268789210907909e-08
2024-01-01 00:01:00,7.146965928043527e-08
2024-01-01 00:01:30,7.025142645179143e-08
2024-01-01 00:02:00,6.903319362314764e-08
2024-01-01 00:02:30,6.822103840405174e-08
2024-01-01 00:03:00,6.659672796586e-08
2024-01-01 00:03:30,6.53784951372162e-08
2024-01-01 00:04:00,6.41602623085724e-08
2024-01-01 00:04:30,6.294202947992857e-08
2024-01-01 00:05:00,6.131771904173684e-08
2024-01-01 00:05:30,6.009948621309306e-08
2024-01-01 00:06:00,5.9287330993997186e-08
2024-01-01 00:06:30,5.8069098165353385e-08
2024-01-01 00:07:00,5.6444787727161634e-08
2024-01-01 00:07:30,5.4820477288969896e-08
2024-01-01 00:08:00,5.400832206987402e-08
2024-01-01 00:08:30,5.3602244460326094e-08
2024-01-01 00:09:00,5.23840116316823e-08
2024-01-01 00:09:30,5.0759701193490575e-08
2024-01-01 00:10:00,5.035362358394265e-08
2024-01-01 00:10:30,4.913539075529885e-08
2024-01-01 00:11:00,4.7511080317107126e-08
2024-01-01 00:11:30,4.7105002707559196e-08
2024-01-01 00:12:00,4.5480692269367465e-08
2024-01-01 00:12:30,4.4262459440723684e-08
2024-01-01 00:13:00,4.385638183117574e-08
2024-01-01 00:13:30,4.3044226612079895e-08
2024-01-01 00:14:00,4.141991617388817e-08
2024-01-01 00:14:30,4.101383856434024e-08
2024-01-01 00:15:00,4.0201683345244376e-08
2024-01-01 00:15:30,3.8983450516600614e-08
2024-01-01 00:16:00,3.776521768795681e-08
2024-01-01 00:16:30,3.735914007840888e-08
2024-01-01 00:17:00,3.654698485931303e-08
2024-01-01 00:17:30,3.5328752030669255e-08
2024-01-01 00:18:00,3.45165968115734e-08
2024-01-01 00:18:30,3.3704441592477544e-08
2024-01-01 00:19:00,3.2892286373381685e-08
2024-01-01 00:19:30,3.16740535447379e-08
2024-01-01 00:20:00,3.1674053544737896e-08
2024-01-01 00:20:30,3.045582071609412e-08
2024-01-01 00:21:00,3.00497431065462e-08
2024-01-01 00:21:30,2.8831510277902423e-08
2024-01-01 00:22:00,2.8425432668354494e-08
2024-01-01 00:22:30,2.761327744925864e-08
2024-01-01 00:23:00,2.7207199839710722e-08
2024-01-01 00:23:30,2.5988967011066953e-08
2024-01-01 00:24:00,2.517681179197109e-08
2024-01-01 00:24:30,2.4364656572875252e-08
2024-01-01 00:25:00,2.395857896332733e-08
2024-01-01 00:25:30,2.35525013537794e-08
2024-01-01 00:26:00,2.233426852513562e-08
2024-01-01 00:26:30,2.1928190915587705e-08
2024-01-01 00:27:00,2.1116035696491863e-08
2024-01-01 00:27:30,2.0709958086943933e-08
2024-01-01 00:28:00,2.030388047739601e-08
2024-01-01 00:28:30,1.949172525830016e-08
2024-01-01 00:29:00,1.9085647648752242e-08
2024-01-01 00:29:30,1.82734924296564e-08
2024-01-01 00:30:00,1.7867414820108476e-08
2024-01-01 00:30:30,1.746133721056055e-08
2024-01-01 00:31:00,1.705525960101263e-08
2024-01-01 00:31:30,1.6243104381916785e-08
2024-01-01 00:32:00,1.5837026772368862e-08
2024-01-01 00:32:30,1.5430949162820943e-08
2024-01-01 00:33:00,1.502487155327302e-08
2024-01-01 00:33:30,1.46187939437251e-08
2024-01-01 00:34:00,1.3806638724629256e-08
2024-01-01 00:34:30,1.3400561115081337e-08
2024-01-01 00:35:00,1.3400561115081332e-08
2024-01-01 00:35:30,1.2588405895985493e-08
2024-01-01 00:36:00,1.2182328286437571e-08
2024-01-01 00:36:30,1.1776250676889649e-08
2024-01-01 00:37:00,1.0964095457793811e-08
2024-01-01 00:37:30,1.0558017848245888e-08
2024-01-01 00:38:00,1.0558017848245892e-08
2024-01-01 00:38:30,9.745862629150048e-09
2024-01-01 00:39:00,9.745862629150048e-09
2024-01-01 00:39:30,8.527629800506289e-09
2024-01-01 00:40:00,8.933707410054208e-09
2024-01-01 00:40:30,8.933707410054207e-09
2024-01-01 00:41:00,8.121552190958371e-09
2024-01-01 00:41:30,7.309396971862529e-09
2024-01-01 00:42:00,6.903319362314609e-09
2024-01-01 00:42:30,6.0911641432187725e-09
2024-01-01 00:43:00,6.0911641432187725e-09
2024-01-01 00:43:30,6.0911641432187725e-09
2024-01-01 00:44:00,5.279008924122934e-09
2024-01-01 00:44:30,4.8729313145750155e-09
2024-01-01 00:45:00,4.4668537050270984e-09
2024-01-01 00:45:30,4.060776095479178e-09
2024-01-01 00:46:00,3.6546984859312606e-09
2024-01-01 00:46:30,3.6546984859312598e-09
2024-01-01 00:47:00,2.842543266835424e-09
2024-01-01 00:47:30,2.436465657287505e-09
2024-01-01 00:48:00,2.030388047739588e-09
2024-01-01 00:48:30,1.62431043819167e-09
2024-01-01 00:49:00,8.121552190958345e-10
2024-01-01 00:49:30,1.2182328286437524e-09
2024-01-01 00:50:00,0.0
2024-01-01 00:50:30,-4.0607760954791717e-10
2024-01-01 00:51:00,-8.121552190958342e-10
2024-01-01 00:51:30,-1.2182328286437514e-09
2024-01-01 00:52:00,-2.436465657287501e-09
2024-01-01 00:52:30,-2.030388047739585e-09
2024-01-01 00:53:00,-2.842543266835418e-09
2024-01-01 00:53:30,-2.842543266835418e-09
2024-01-01 00:54:00,-3.248620876383334e-09
2024-01-01 00:54:30,-4.466853705027083e-09
2024-01-01 00:55:00,-4.872931314574998e-09
2024-01-01 00:55:30,-4.872931314574999e-09
2024-01-01 00:56:00,-6.0911641432187485e-09
2024-01-01 00:56:30,-6.903319362314579e-09
2024-01-01 00:57:00,-7.715474581410407e-09
2024-01-01 00:57:30,-8.121552190958323e-09
2024-01-01 00:58:00,-8.527629800506236e-09
2024-01-01 00:58:30,-8.933707410054154e-09
2024-01-01 00:59:00,-1.0151940238697898e-08
2024-01-01 00:59:30,-1.1370173067341638e-08
2024-01-01 01:00:00,-1.2182328286437466e-08
2024-01-01 01:00:30,-1.2182328286437464e-08
2024-01-01 01:01:00,-1.2588405895985382e-08
2024-01-01 01:01:30,-1.2588405895985382e-08
2024-01-01 01:02:00,-1.2994483505533296e-08
2024-01-01 01:02:30,-1.3400561115081204e-08
2024-01-01 01:03:00,-1.2994483505533296e-08
2024-01-01 01:03:30,-1.3400561115081208e-08
2024-01-01 01:04:00,-1.380663872462912e-08
2024-01-01 01:04:30,-1.380663872462912e-08
2024-01-01 01:05:00,-1.3806638724629122e-08
2024-01-01 01:05:30,-1.4618793943724946e-08
2024-01-01 01:06:00,-1.502487155327286e-08
2024-01-01 01:06:30,-1.543094916282077e-08
2024-01-01 01:07:00,-1.5837026772368687e-08
2024-01-01 01:07:30,-1.5430949162820774e-08
2024-01-01 01:08:00,-1.62431043819166e-08
2024-01-01 01:08:30,-1.5837026772368684e-08
2024-01-01 01:09:00,-1.6649181991464513e-08
2024-01-01 01:09:30,-1.7055259601012422e-08
2024-01-01 01:10:00,-1.7461337210560335e-08
2024-01-01 01:10:30,-1.6649181991464513e-08
2024-01-01 01:11:00,-1.7055259601012422e-08
2024-01-01 01:11:30,-1.7055259601012422e-08
2024-01-01 01:12:00,-1.7867414820108245e-08
2024-01-01 01:12:30,-1.7867414820108248e-08
2024-01-01 01:13:00,-1.827349242965616e-08
2024-01-01 01:13:30,-1.867957003920407e-08
2024-01-01 01:14:00,-1.908564764875198e-08
2024-01-01 01:14:30,-1.9085647648751984e-08
2024-01-01 01:15:00,-1.9085647648751984e-08
2024-01-01 01:15:30,-1.9897802867847803e-08
2024-01-01 01:16:00,-2.0303880477395722e-08
2024-01-01 01:16:30,-2.0303880477395722e-08
2024-01-01 01:17:00,-2.0709958086943632e-08
2024-01-01 01:17:30,-2.1116035696491532e-08
2024-01-01 01:18:00,-2.152211330603945e-08
2024-01-01 01:18:30,-2.152211330603945e-08
2024-01-01 01:19:00,-2.2334268525135277e-08
2024-01-01 01:19:30,-2.233426852513527e-08
2024-01-01 01:20:00,-2.1928190915587367e-08
2024-01-01 01:20:30,-2.2740346134683187e-08
2024-01-01 01:21:00,-2.2740346134683183e-08
2024-01-01 01:21:30,-2.3552501353779013e-08
2024-01-01 01:22:00,-2.395857896332692e-08
2024-01-01 01:22:30,-2.3958578963326922e-08
2024-01-01 01:23:00,-2.3958578963326922e-08
2024-01-01 01:23:30,-2.517681179197065e-08
2024-01-01 01:24:00,-2.5176811791970644e-08
2024-01-01 01:24:30,-2.477073418242273e-08
2024-01-01 01:25:00,-2.4770734182422735e-08
2024-01-01 01:25:30,-2.558288940151856e-08
2024-01-01 01:26:00,-2.6395044620614373e-08
2024-01-01 01:26:30,-2.5988967011066474e-08
2024-01-01 01:27:00,-2.6395044620614377e-08
2024-01-01 01:27:30,-2.6801122230162293e-08
2024-01-01 01:28:00,-2.680112223016229e-08
2024-01-01 01:28:30,-2.6801122230162293e-08
