timestamp,hvac_reaAhu_V_flow_ret_y
2024-01-01 00:00:00,1.997212194165552e-07
2024-01-01 00:00:30,1.9859149147437889e-07
2024-01-01 00:01:00,1.9673245963843826e-07
2024-01-01 00:01:30,1.9453476081127602e-07
2024-01-01 00:02:00,1.920180034586088e-07
2024-01-01 00:02:30,1.891482806323569e-07
2024-01-01 00:03:00,1.8606575522223098e-07
2024-01-01 00:03:30,1.8281910943686258e-07
2024-01-01 00:04:00,1.7946966969737585e-07
2024-01-01 00:04:30,1.760383027481903e-07
2024-01-01 00:05:00,1.7253829046749006e-07
2024-01-01 00:05:30,1.690292926034404e-07
2024-01-01 00:06:00,1.655051764574194e-07
2024-01-01 00:06:30,1.6198696988002673e-07
2024-01-01 00:07:00,1.5848467772493873e-07
2024-01-01 00:07:30,1.5500362682084938e-07
2024-01-01 00:08:00,1.515480348928583e-07
2024-01-01 00:08:30,1.4811868022300525e-07
2024-01-01 00:09:00,1.447301747846792e-07
2024-01-01 00:09:30,1.4136526307112334e-07
2024-01-01 00:10:00,1.380446332422859e-07
2024-01-01 00:10:30,1.3473831496252938e-07
2024-01-01 00:11:00,1.314720771419081e-07
2024-01-01 00:11:30,1.282278582132635e-07
2024-01-01 00:12:00,1.2501693052646782e-07
2024-01-01 00:12:30,1.2183758861521678e-07
2024-01-01 00:13:00,1.1867626222379245e-07
2024-01-01 00:13:30,1.155429284348965e-07
2024-01-01 00:14:00,1.124352163978699e-07
2024-01-01 00:14:30,1.0934707502646545e-07
2024-01-01 00:15:00,1.0628635712231485e-07
2024-01-01 00:15:30,1.032400979152318e-07
2024-01-01 00:16:00,1.002279462739664e-07
2024-01-01 00:16:30,9.722313446666717e-08
2024-01-01 00:17:00,9.424088650206295e-08
2024-01-01 00:17:30,9.12842494799247e-08
2024-01-01 00:18:00,8.834612984639986e-08
2024-01-01 00:18:30,8.542340932870103e-08
2024-01-01 00:19:00,8.252529971205984e-08
2024-01-01 00:19:30,7.965056781872486e-08
2024-01-01 00:20:00,7.679710897685659e-08
2024-01-01 00:20:30,7.396039221703164e-08
2024-01-01 00:21:00,7.11477963613282e-08
2024-01-01 00:21:30,6.83662860922449e-08
2024-01-01 00:22:00,6.559615057636173e-08
2024-01-01 00:22:30,6.285973498873634e-08
2024-01-01 00:23:00,6.01410838779321e-08
2024-01-01 00:23:30,5.745571291928525e-08
2024-01-01 00:24:00,5.478906939777837e-08
2024-01-01 00:24:30,5.21517033742187e-08
2024-01-01 00:25:00,4.954413983114639e-08
2024-01-01 00:25:30,4.6954607310801055e-08
2024-01-01 00:26:00,4.4398739635446836e-08
2024-01-01 00:26:30,4.186787275368196e-08
2024-01-01 00:27:00,3.9362181057009486e-08
2024-01-01 00:27:30,3.689115367160396e-08
2024-01-01 00:28:00,3.443909806822127e-08
2024-01-01 00:28:30,3.2021079097290523e-08
2024-01-01 00:29:00,2.9626812994767654e-08
2024-01-01 00:29:30,2.725261110110509e-08
