timestamp,hvac_reaZonNor_CO2Zon_y
2024-01-01 00:00:00,592.8064478718373
2024-01-01 00:00:30,592.8886584109925
2024-01-01 00:01:00,592.971728835743
2024-01-01 00:01:30,593.0557450754047
2024-01-01 00:02:00,593.1407254977318
2024-01-01 00:02:30,593.2266712109351
2024-01-01 00:03:00,593.3135821567095
2024-01-01 00:03:30,593.4014570071143
2024-01-01 00:04:00,593.4902933178712
2024-01-01 00:04:30,593.5800881294224
2024-01-01 00:05:00,593.6708364860241
2024-01-01 00:05:30,593.7625334364052
2024-01-01 00:06:00,593.8551734988441
2024-01-01 00:06:30,593.9487505680225
2024-01-01 00:07:00,594.0432580880441
2024-01-01 00:07:30,594.1386891484884
2024-01-01 00:08:00,594.2350364898748
2024-01-01 00:08:30,594.3322925192591
2024-01-01 00:09:00,594.4304493532516
2024-01-01 00:09:30,594.5294988569151
2024-01-01 00:10:00,594.6294326678669
2024-01-01 00:10:30,594.7302422147573
2024-01-01 00:11:00,594.8319187366163
2024-01-01 00:11:30,594.9344532950266
2024-01-01 00:12:00,595.0378367899477
2024-01-01 00:12:30,595.142060007317
2024-01-01 00:13:00,595.2471136273065
2024-01-01 00:13:30,595.3529882158565
2024-01-01 00:14:00,595.4596742327759
2024-01-01 00:14:30,595.5671620497561
2024-01-01 00:15:00,595.6754419613358
2024-01-01 00:15:30,595.7845041883446
2024-01-01 00:16:00,595.8943388812806
2024-01-01 00:16:30,596.0049361256888
2024-01-01 00:17:00,596.1162859468764
2024-01-01 00:17:30,596.2283783121803
2024-01-01 00:18:00,596.3412031319434
2024-01-01 00:18:30,596.454750260153
2024-01-01 00:19:00,596.5690094945177
2024-01-01 00:19:30,596.6839705755225
2024-01-01 00:20:00,596.7996231845792
2024-01-01 00:20:30,596.9159569412797
2024-01-01 00:21:00,597.0329614002572
2024-01-01 00:21:30,597.1506260470943
2024-01-01 00:22:00,597.2689402937365
2024-01-01 00:22:30,597.3878934731396
2024-01-01 00:23:00,597.5074748333985
2024-01-01 00:23:30,597.6276735313257
2024-01-01 00:24:00,597.7484786254636
2024-01-01 00:24:30,597.8698790687708
2024-01-01 00:25:00,597.9918637006951
2024-01-01 00:25:30,598.1144212389758
2024-01-01 00:26:00,598.2375402711046
2024-01-01 00:26:30,598.3612092454608
2024-01-01 00:27:00,598.4854164622026
2024-01-01 00:27:30,598.610150063963
2024-01-01 00:28:00,598.7353980264119
2024-01-01 00:28:30,598.8611481486689
2024-01-01 00:29:00,598.9873880437071
2024-01-01 00:29:30,599.1141051287426
2024-01-01 00:30:00,599.2412866156094
2024-01-01 00:30:30,599.368919501313
2024-01-01 00:31:00,599.4969905587586
2024-01-01 00:31:30,599.625486327494
2024-01-01 00:32:00,599.7543930563673
2024-01-01 00:32:30,599.8836972801008
2024-01-01 00:33:00,600.0133844791551
2024-01-01 00:33:30,600.1434396751695
2024-01-01 00:34:00,600.2738483779559
2024-01-01 00:34:30,600.4045956027845
2024-01-01 00:35:00,600.5356660666679
2024-01-01 00:35:30,600.6670441629041
2024-01-01 00:36:00,600.7987139856776
2024-01-01 00:36:30,600.9306593240675
2024-01-01 00:37:00,601.0628636627405
2024-01-01 00:37:30,601.1953101786482
2024-01-01 00:38:00,601.327981740187
2024-01-01 00:38:30,601.4608609063436
2024-01-01 00:39:00,601.5939299272189
2024-01-01 00:39:30,601.727170745423
2024-01-01 00:40:00,601.8605649985756
2024-01-01 00:40:30,601.9940940228995
2024-01-01 00:41:00,602.1277388580114
2024-01-01 00:41:30,602.2614802527789
2024-01-01 00:42:00,602.395298672496
2024-01-01 00:42:30,602.5291743071704
2024-01-01 00:43:00,602.6630870811329
2024-01-01 00:43:30,602.7970166638344
2024-01-01 00:44:00,602.9309424818716
2024-01-01 00:44:30,603.0648437300432
2024-01-01 00:45:00,603.1986993888277
2024-01-01 00:45:30,603.332488238709
2024-01-01 00:46:00,603.4661888777532
