timestamp,hvac_reaZonWes_V_flow_y
2024-01-01 00:00:00,-3.32694204408331e-08
2024-01-01 00:00:30,-3.2904216261441726e-08
2024-01-01 00:01:00,-3.246801017420002e-08
2024-01-01 00:01:30,-3.200091997723465e-08
2024-01-01 00:02:00,-3.150517445042829e-08
2024-01-01 00:02:30,-3.0978226447886505e-08
2024-01-01 00:03:00,-3.0432811774069563e-08
2024-01-01 00:03:30,-2.9875616724528715e-08
2024-01-01 00:04:00,-2.9312054011254423e-08
2024-01-01 00:04:30,-2.874467079045914e-08
2024-01-01 00:05:00,-2.81741038489164e-08
2024-01-01 00:05:30,-2.7607357864107598e-08
2024-01-01 00:06:00,-2.704347764615176e-08
2024-01-01 00:06:30,-2.648437355612545e-08
2024-01-01 00:07:00,-2.5930682376228292e-08
2024-01-01 00:07:30,-2.538304088838576e-08
2024-01-01 00:08:00,-2.484304105750329e-08
2024-01-01 00:08:30,-2.43100460873754e-08
2024-01-01 00:09:00,-2.378437436521028e-08
2024-01-01 00:09:30,-2.3264752306799516e-08
2024-01-01 00:10:00,-2.275436384823145e-08
2024-01-01 00:10:30,-2.224875146310841e-08
2024-01-01 00:11:00,-2.1750462299234553e-08
2024-01-01 00:11:30,-2.1259177956122627e-08
2024-01-01 00:12:00,-2.077426163944293e-08
2024-01-01 00:12:30,-2.0296031737560952e-08
2024-01-01 00:13:00,-1.982416985075088e-08
2024-01-01 00:13:30,-1.9358039185526337e-08
2024-01-01 00:14:00,-1.8897639736798014e-08
2024-01-01 00:14:30,-1.8443289893596504e-08
2024-01-01 00:15:00,-1.7994989651022108e-08
2024-01-01 00:15:30,-1.7551147034655956e-08
2024-01-01 00:16:00,-1.7113990797580722e-08
2024-01-01 00:16:30,-1.6681610571844878e-08
2024-01-01 00:17:00,-1.6254324747200405e-08
2024-01-01 00:17:30,-1.5832451713408584e-08
2024-01-01 00:18:00,-1.5415991466433884e-08
2024-01-01 00:18:30,-1.5004307214772342e-08
2024-01-01 00:19:00,-1.4598035742258665e-08
2024-01-01 00:19:30,-1.4196540257675844e-08
2024-01-01 00:20:00,-1.3801412726134844e-08
2024-01-01 00:20:30,-1.3410105994293193e-08
2024-01-01 00:21:00,-1.3024530421111668e-08
2024-01-01 00:21:30,-1.2644367609520262e-08
2024-01-01 00:22:00,-1.2268980768972862e-08
2024-01-01 00:22:30,-1.1899325077300856e-08
2024-01-01 00:23:00,-1.1534445350545148e-08
2024-01-01 00:23:30,-1.1174978373013044e-08
2024-01-01 00:24:00,-1.0820605748229864e-08
2024-01-01 00:24:30,-1.04716458669962e-08
2024-01-01 00:25:00,-1.0128735513681929e-08
2024-01-01 00:25:30,-9.789964324367329e-09
2024-01-01 00:26:00,-9.456605870744266e-09
2024-01-01 00:26:30,-9.128660150339192e-09
2024-01-01 00:27:00,-8.805808767270177e-09
2024-01-01 00:27:30,-8.488688506220705e-09
2024-01-01 00:28:00,-8.176025791060682e-09
2024-01-01 00:28:30,-7.86877580010516e-09
2024-01-01 00:29:00,-7.566620137833169e-09
2024-01-01 00:29:30,-7.268285228552868e-09
2024-01-01 00:30:00,-6.9759998244317834e-09
2024-01-01 00:30:30,-6.687853563087556e-09
2024-01-01 00:31:00,-6.4044832296470994e-09
2024-01-01 00:31:30,-6.124933642271565e-09
2024-01-01 00:32:00,-5.850796766329246e-09
2024-01-01 00:32:30,-5.579207059896026e-09
2024-01-01 00:33:00,-5.312074881832913e-09
2024-01-01 00:33:30,-5.049081837370728e-09
2024-01-01 00:34:00,-4.789591138482723e-09
2024-01-01 00:34:30,-4.533602783929099e-09
2024-01-01 00:35:00,-4.281116772516415e-09
2024-01-01 00:35:30,-4.030541136455635e-09
2024-01-01 00:36:00,-3.784104627982368e-09
2024-01-01 00:36:30,-3.5398968860939834e-09
2024-01-01 00:37:00,-3.2972811232031635e-09
2024-01-01 00:37:30,-3.0572125183193883e-09
2024-01-01 00:38:00,-2.8190542839157193e-09
2024-01-01 00:38:30,-2.582169632528801e-09
2024-01-01 00:39:00,-2.346240170042809e-09
2024-01-01 00:39:30,-2.111902682239505e-09
2024-01-01 00:40:00,-1.878520381747141e-09
2024-01-01 00:40:30,-1.644501301388941e-09
2024-01-01 00:41:00,-1.4111190135668362e-09
2024-01-01 00:41:30,-1.177099944428973e-09
2024-01-01 00:42:00,-9.433992730856659e-10
2024-01-01 00:42:30,-7.077882458923207e-10
2024-01-01 00:43:00,-4.712220419601656e-10
2024-01-01 00:43:30,-2.3370066056050366e-10
2024-01-01 00:44:00,7.004651935145651e-12
2024-01-01 00:44:30,2.496203231942006e-10
2024-01-01 00:45:00,4.947831405306761e-10
2024-01-01 00:45:30,7.428114980151253e-10
2024-01-01 00:46:00,9.95297362832121e-10
2024-01-01 00:46:30,1.2509671627800226e-09
2024-01-01 00:47:00,1.5117312584103846e-09
2024-01-01 00:47:30,1.7759976843415756e-09
2024-01-01 00:48:00,2.046950374356577e-09
2024-01-01 00:48:30,2.3229973632058474e-09
2024-01-01 00:49:00,2.6057306184797803e-09
2024-01-01 00:49:30,2.894513354910558e-09
2024-01-01 00:50:00,3.190937540311258e-09
2024-01-01 00:50:30,3.4950031762016993e-09
2024-01-01 00:51:00,3.8073470508041564e-09
2024-01-01 00:51:30,4.127969165889818e-09
2024-01-01 00:52:00,4.4590982765111935e-09
2024-01-01 00:52:30,4.79914241825472e-09
2024-01-01 00:53:00,5.150330346583088e-09
2024-01-01 00:53:30,5.512662064019249e-09
2024-01-01 00:54:00,5.8864559666086455e-09
2024-01-01 00:54:30,6.273940810681398e-09
2024-01-01 00:55:00,6.673524632809941e-09
2024-01-01 00:55:30,7.0874361899550116e-09
2024-01-01 00:56:00,7.516630666118383e-09
2024-01-01 00:56:30,7.961426458954274e-09
2024-01-01 00:57:00,8.421823573089428e-09
2024-01-01 00:57:30,8.900050767306108e-09
2024-01-01 00:58:00,9.395789653778854e-09
2024-01-01 00:58:30,9.910950599033962e-09
2024-01-01 00:59:00,1.0447125576923283e-08
2024-01-01 00:59:30,1.1003041020978324e-08
2024-01-01 01:00:00,1.1581562480151742e-08
2024-01-01 01:00:30,1.1817811018169712e-08
2024-01-01 01:01:00,1.2019354698725448e-08
2024-01-01 01:01:30,1.2232360577083448e-08
2024-01-01 01:02:00,1.2447276849657524e-08
2024-01-01 01:02:30,1.2663148336786345e-08
2024-01-01 01:03:00,1.2882522187880049e-08
2024-01-01 01:03:30,1.3104124829890771e-08
2024-01-01 01:04:00,1.3328274657536768e-08
2024-01-01 01:04:30,1.3554653278388876e-08
2024-01-01 01:05:00,1.3783260693611872e-08
2024-01-01 01:05:30,1.4015370479032555e-08
2024-01-01 01:06:00,1.4249390667705133e-08
2024-01-01 01:06:30,1.4486276441911202e-08
2024-01-01 01:07:00,1.4726027803042466e-08
2024-01-01 01:07:30,1.496800796504883e-08
2024-01-01 01:08:00,1.521380889805086e-08
2024-01-01 01:08:30,1.5461838634832838e-08
2024-01-01 01:09:00,1.5713052358189812e-08
2024-01-01 01:09:30,1.5967768463562653e-08
2024-01-01 01:10:00,1.6225668558832722e-08
2024-01-01 01:10:30,1.6485479070242932e-08
2024-01-01 01:11:00,1.6749428756461426e-08
2024-01-01 01:11:30,1.7016880831644957e-08
2024-01-01 01:12:00,1.728783529767469e-08
2024-01-01 01:12:30,1.7561655368563833e-08
2024-01-01 01:13:00,1.7839296228070692e-08
2024-01-01 01:13:30,1.8120121090267112e-08
2024-01-01 01:14:00,1.8404129957128025e-08
2024-01-01 01:14:30,1.8691959618772616e-08
2024-01-01 01:15:00,1.8983610077407166e-08
2024-01-01 01:15:30,1.9278762941178933e-08
2024-01-01 01:16:00,1.9577099818174468e-08
2024-01-01 01:16:30,1.987862071057044e-08
2024-01-01 01:17:00,2.0183644014762927e-08
2024-01-01 01:17:30,2.0492169733082968e-08
2024-01-01 01:18:00,2.0803561079423147e-08
2024-01-01 01:18:30,2.111813645028232e-08
2024-01-01 01:19:00,2.143621424230054e-08
2024-01-01 01:19:30,2.1756202486322413e-08
2024-01-01 01:20:00,2.2079374761802747e-08
2024-01-01 01:20:30,2.2405094282389616e-08
2024-01-01 01:21:00,2.273272426150472e-08
2024-01-01 01:21:30,2.3062264701216123e-08
2024-01-01 01:22:00,2.3393715603586585e-08
2024-01-01 01:22:30,2.3725803392643976e-08
2024-01-01 01:23:00,2.4059164859112676e-08
2024-01-01 01:23:30,2.4392844821088294e-08
2024-01-01 01:24:00,2.472652488543803e-08
2024-01-01 01:24:30,2.5058931474928724e-08
2024-01-01 01:25:00,2.5390064590397768e-08
2024-01-01 01:25:30,2.5719605837886174e-08
2024-01-01 01:26:00,2.604628163897499e-08
2024-01-01 01:26:30,2.6368818414565014e-08
2024-01-01 01:27:00,2.6687534558894928e-08
