time,hvac_oveAhu_yHea_u
6652800,0.0
6652830,0.0
6652860,0.0
6652890,0.0
6652920,0.0
6652950,0.0
6652980,0.0
6653010,0.0
6653040,0.0
6653070,0.0
6653100,0.0
6653130,0.0
6653160,0.0
6653190,0.0
6653220,0.0
6653250,0.0
6653280,0.0
6653310,0.0
6653340,0.0
6653370,0.0
6653400,0.0
6653430,0.5004403132721376
6653460,0.5004403132721376
6653490,0.5004403132721376
6653520,0.5004403132721376
6653550,0.5004403132721376
6653580,0.5004403132721376
6653610,0.5004403132721376
6653640,0.5004403132721376
6653670,0.5004403132721376
6653700,0.5004403132721376
6653730,0.5004403132721376
6653760,0.5004403132721376
6653790,0.5004403132721376
6653820,0.5004403132721376
6653850,0.5004403132721376
6653880,0.5004403132721376
6653910,0.5004403132721376
6653940,0.5004403132721376
6653970,0.5004403132721376
6654000,0.5004403132721376
6654030,0.5004396726204208
6654060,0.5004396726204208
6654090,0.5004396726204208
6654120,0.5004396726204208
6654150,0.5004396726204208
6654180,0.5004396726204208
6654210,0.5004396726204208
6654240,0.5004396726204208
6654270,0.5004396726204208
6654300,0.5004396726204208
6654330,0.5004396726204208
6654360,0.5004396726204208
6654390,0.5004396726204208
6654420,0.5004396726204208
6654450,0.5004396726204208
6654480,0.5004396726204208
6654510,0.5004396726204208
6654540,0.5004396726204208
6654570,0.5004396726204208
6654600,0.5004396726204208
6654630,0.5004399696025577
6654660,0.5004399696025577
6654690,0.5004399696025577
6654720,0.5004399696025577
6654750,0.5004399696025577
6654780,0.5004399696025577
6654810,0.5004399696025577
6654840,0.5004399696025577
6654870,0.5004399696025577
6654900,0.5004399696025577
6654930,0.5004399696025577
6654960,0.5004399696025577
6654990,0.5004399696025577
6655020,0.5004399696025577
6655050,0.5004399696025577
6655080,0.5004399696025577
6655110,0.5004399696025577
6655140,0.5004399696025577
6655170,0.5004399696025577
6655200,0.5004399696025577
6655230,0.5004403275938298
6655260,0.5004403275938298
6655290,0.5004403275938298
6655320,0.5004403275938298
6655350,0.5004403275938298
6655380,0.5004403275938298
6655410,0.5004403275938298
6655440,0.5004403275938298
6655470,0.5004403275938298
6655500,0.5004403275938298
6655530,0.5004403275938298
6655560,0.5004403275938298
6655590,0.5004403275938298
6655620,0.5004403275938298
6655650,0.5004403275938298
6655680,0.5004403275938298
6655710,0.5004403275938298
6655740,0.5004403275938298
6655770,0.5004403275938298
6655800,0.5004403275938298
6655830,0.5004402030560876
6655860,0.5004402030560876
6655890,0.5004402030560876
6655920,0.5004402030560876
6655950,0.5004402030560876
6655980,0.5004402030560876
6656010,0.5004402030560876
6656040,0.5004402030560876
6656070,0.5004402030560876
6656100,0.5004402030560876
6656130,0.5004402030560876
6656160,0.5004402030560876
6656190,0.5004402030560876
6656220,0.5004402030560876
6656250,0.5004402030560876
6656280,0.5004402030560876
6656310,0.5004402030560876
6656340,0.5004402030560876
6656370,0.5004402030560876
6656400,0.5004402030560876
6656430,0.5004403834620558
6656460,0.5004403834620558
6656490,0.5004403834620558
6656520,0.5004403834620558
6656550,0.5004403834620558
6656580,0.5004403834620558
6656610,0.5004403834620558
6656640,0.5004403834620558
6656670,0.5004403834620558
6656700,0.5004403834620558
6656730,0.5004403834620558
6656760,0.5004403834620558
6656790,0.5004403834620558
6656820,0.5004403834620558
6656850,0.5004403834620558
6656880,0.5004403834620558
6656910,0.5004403834620558
