time,hvac_reaZonNor_CO2Zon_y
6652800,648.5871055489011
6652830,648.6367713750592
6652860,648.6870240440925
6652890,648.7379147289354
6652920,648.7894662153499
6652950,648.8416742204979
6652980,648.8945234750704
6653010,648.9480017646821
6653040,649.0020956937642
6653070,649.0567919543826
6653100,649.112078075295
6653130,649.1679429309711
6653160,649.224377134383
6653190,649.2813733229425
6653220,649.3389263584301
6653250,649.3970334683902
6653280,649.4556612037503
6653310,649.5147082510304
6653340,649.5740350260959
6653370,649.6334876610977
6653400,649.692910614332
6653430,649.7521522531979
6653460,649.8110670027482
6653490,649.8695159878841
6653520,649.927366797977
6653550,649.9844941014215
6653580,650.0407785678335
6653610,650.0961069104295
6653640,650.150371242411
6653670,650.2034689895353
6653700,650.2553026608875
6653730,650.3057795514496
6653760,650.3548114860861
6653790,650.4023145885849
6653820,650.4482090617845
6653850,650.4924189817896
6653880,650.5348721072156
6653910,650.5754997028831
6653940,650.614236377686
6653970,650.6510199365009
6654000,650.6857912458636
6654030,650.7184941132004
6654060,650.7490751791847
6654090,650.7774838229047
6654120,650.8036720791708
6654150,650.8275945675239
6654180,650.8492187121212
6654210,650.8684925005641
6654240,650.8853778635867
6654270,650.8998348785649
6654300,650.9118344682132
6654330,650.9213473522237
6654360,650.9283459585524
6654390,650.9328043873204
6654420,650.9346990291449
6654450,650.9340084415982
6654480,650.9307134022281
6654510,650.9247968545233
6654540,650.9162438800697
6654570,650.9050415599038
6654600,650.891178930897
6654630,650.874646914732
6654660,650.8554382064676
6654690,650.8335472203175
6654720,650.8090214762954
6654750,650.7820184962943
6654780,650.7527403716931
6654810,650.7213795591693
6654840,650.6880377831191
6654870,650.6528847689525
6654900,650.6160604535487
6654930,650.5776503614553
6654960,650.537733918306
6654990,650.4963815605438
6655020,650.4536529811938
6655050,650.4095975356308
6655080,650.364255345191
6655110,650.3176585849026
6655140,650.2698327687007
6655170,650.220797960677
6655200,650.1705700263942
6655230,650.1191577242564
6655260,650.0665747502724
6655290,650.0128293897077
6655320,649.9579279372746
6655350,649.9018775029066
6655380,649.8446851215053
6655410,649.78635605736
6655440,649.7268988010285
6655470,649.6663224748511
6655500,649.6046367763602
6655530,649.5418521369083
6655560,649.4779826117127
6655590,649.4129199039794
6655620,649.3468856347238
6655650,649.2798468377085
6655680,649.211784208159
6655710,649.1427172889792
6655740,649.0726660965156
6655770,649.001651411392
6655800,648.9296974902206
6655830,648.8568265121584
6655860,648.7830651646203
6655890,648.7084381362354
6655920,648.6329743699483
6655950,648.5566965727455
6655980,648.4796366023131
6656010,648.4018251334214
6656040,648.3232936072162
6656070,648.2440634061363
6656100,648.1641743662415
6656130,648.0836534912058
6656160,648.0025298070002
6656190,647.9208340738847
6656220,647.8385969418786
6656250,647.7558492345462
6656280,647.6726218006869
6656310,647.5889453938297
6656340,647.5048505992387
6656370,647.4203677730774
6656400,647.3355269853952
6656430,647.2503647378061
6656460,647.1649238477468
6656490,647.0792483353383
6656520,646.9933808380249
6656550,646.9073628675827
6656580,646.8212342642993
6656610,646.7350332637894
6656640,646.6487965840162
6656670,646.562559510495
6656700,646.4763559737139
6656730,646.3902186178938
6656760,646.3041788618269
6656790,646.2182669516657
6656820,646.1325120047647
6656850,646.0469420626222
6656880,645.9615841269166
6656910,645.8764641940874
6656940,645.7916072876384
6656970,645.7070374882529
6657000,645.6227779619003
6657030,645.5388509862307
6657060,645.455277975501
6657090,645.3720795042133
6657120,645.2892753296707
6657150,645.2068844135648
6657180,645.1249249427167
6657210,645.0434143490683
6657240,644.9623693289956
6657270,644.881805862003
6657300,644.8017392287685
6657330,644.7221840289216
6657360,644.6431541980024
6657390,644.5646630240971
6657420,644.4867231639894
6657450,644.4093466588827
6657480,644.3325449496821
6657510,644.2563288918516
6657540,644.1807087698818
6657570,644.1056943113256
6657600,644.0312947004508
6657630,643.9575185914997
6657660,643.8843741215516
6657690,643.8118689230122
6657720,643.7400101357158
6657750,643.6688044186593
6657780,643.5982579613586
6657810,643.5283764948521
6657840,643.4591653023381
6657870,643.39062922945
6657900,643.3227726941989
6657930,643.2555996965547
6657960,643.1891138277008
6657990,643.1233182789532
6658020,643.0582158503432
6658050,642.9938089588983
6658080,642.930099646592
6658110,642.86708958799
6658140,642.8047800975918
6658170,642.7431721368814
6658200,642.6822663210752
6658230,642.6220629255961
6658260,642.5625618922668
6658290,642.5037628352176
6658320,642.4456650465452
6658350,642.3882675016946
6658380,642.3315688645947
6658410,642.2755674925304
6658440,642.2202614407717
6658470,642.1656484669679
6658500,642.1117260352987
6658530,642.0584913203847
6658560,642.0059412109844
6658590,641.9540723134544
6658620,641.9028809549842
6658650,641.8523631866178
6658680,641.8025147860548
6658710,641.7533312602469
6658740,641.7048078477706
6658770,641.6569395209873
6658800,641.6097209880021
6658830,641.5631466944124
