time,hvac_reaZonCor_CO2Zon_y
6652800,649.2158520966117
6652830,649.2802971906553
6652860,649.3452472906085
6652890,649.4107662709317
6652920,649.4769038243084
6652950,649.5436921943975
6652980,649.611177687343
6653010,649.6793960032015
6653040,649.7483887942585
6653070,649.8182012628123
6653100,649.8888810693136
6653130,649.9604776721003
6653160,650.0330418719589
6653190,650.1066254462588
6653220,650.1812807330571
6653250,650.2570605044136
6653280,650.3330542575333
6653310,650.4075442496982
6653340,650.4799478218173
6653370,650.5500607462741
6653400,650.6178037230133
6653430,650.6831375662368
6653460,650.7460349475232
6653490,650.8064710958813
6653520,650.8644200668115
6653550,650.9198561428657
6653580,650.9727522922286
6653610,651.023078900843
6653640,651.0708061083327
6653670,651.1159029644876
6653700,651.158337781053
6653730,651.1980783085046
6653760,651.2350919136627
6653790,651.2693457546673
6653820,651.3008069432636
6653850,651.3294427015237
6653880,651.3552205160864
6653910,651.3781082907594
6653940,651.3980744986051
6653970,651.4150883348499
6654000,651.4291198717696
6654030,651.4401402169091
6654060,651.4481216758369
6654090,651.4530379208531
6654120,651.4548641668532
6654150,651.4535773559611
6654180,651.4491595558384
6654210,651.4415876840553
6654240,651.4308453516414
6654270,651.4169172903047
6654300,651.3997935985874
6654330,651.3794669655982
6654360,651.355933415912
6654390,651.3291920894965
6654420,651.2992462191065
6654450,651.2661033033438
6654480,651.229775551721
6654510,651.1902802340312
6654540,651.147640083586
6654570,651.1018835813126
6654600,651.0530453550024
6654630,651.0011665308829
6654660,650.9462950024758
6654690,650.8884857091363
6654720,650.8277983362711
6654750,650.7643498821517
6654780,650.698262577674
6654810,650.6296564722319
6654840,650.5585991605918
6654870,650.4852103397617
6654900,650.4096053701717
6654930,650.3318654275294
6654960,650.252075664548
6654990,650.1703227947719
6655020,650.0866930257956
6655050,650.0012714801869
6655080,649.9141420621371
6655110,649.8253874324823
6655140,649.7350889896138
6655170,649.6433268308318
6655200,649.5501800504398
6655230,649.4557039575354
6655260,649.3599969695932
6655290,649.2631333234215
6655320,649.1651828544148
6655350,649.0662225003765
6655380,648.966323832269
6655410,648.865538361362
6655440,648.763940031218
6655470,648.6615958622875
6655500,648.5585649978997
6655530,648.4549057394496
6655560,648.3506839345874
6655590,648.2458799915413
6655620,648.1406554721178
6655650,648.0350371534114
6655680,647.9290560134633
6655710,647.8227641747586
6655740,647.716206364418
6655770,647.6094252833249
6655800,647.5024663113751
6655830,647.3953676363429
6655860,647.2881716680391
6655890,647.1809147309397
6655920,647.0736365184756
6655950,646.9663660421469
6655980,646.8591420644591
6656010,646.7519991321491
6656040,646.6449705522225
6656070,646.5380778149283
6656100,646.4313594793136
6656130,646.324840133163
6656160,646.2185448684357
6656190,646.1124996154081
6656220,646.0067289686727
6656250,645.9012567577836
6656280,645.796105982753
6656310,645.6912987777337
6656340,645.5868564271433
