time,hvac_reaZonWes_CO2Zon_y
6652800,648.2610424888293
6652830,648.1402694269145
6652860,648.0164616890531
6652890,647.8895954075208
6652920,647.7597624158838
6652950,647.6271627366733
6652980,647.4920907772246
6653010,647.3547410930441
6653040,647.2153218359267
6653070,647.0740420437113
6653100,646.9311085173102
6653130,646.7867256519785
6653160,646.6410961999323
6653190,646.4944222563258
6653220,646.3469062599235
6653250,646.1987519536056
6653280,646.0501639883761
6653310,645.9013479612985
6653340,645.7525131048898
6653370,645.6038742139102
6653400,645.4556527961721
6653430,645.308077787836
6653460,645.1613860530834
6653490,645.0158227740321
6653520,644.8716399816632
6653550,644.7291016862687
6653580,644.588481870179
6653610,644.4500593127708
6653640,644.314125524097
6653670,644.1809811443316
6653700,644.050936379608
6653730,643.9243111170798
6653760,643.8014349367282
6653790,643.6826470541423
6653820,643.5682961926857
6653850,643.4587403898886
6653880,643.3543467360191
6653910,643.255491038986
6653940,643.162557408871
6653970,643.0759377546079
6654000,642.9960311841301
6654030,642.923243298338
6654060,642.8579853677671
6654090,642.8006733796417
6654120,642.7517269410899
6654150,642.7115680230254
6654180,642.6804927000298
6654210,642.6590570785704
6654240,642.6476880018656
6654270,642.6468613479344
6654300,642.6569320475589
6654330,642.6782847727524
6654360,642.7113004681278
6654390,642.7563478633994
6654420,642.8137773036699
6654450,642.8839159459508
6654480,642.967063318036
6654510,643.0634865915084
6654540,643.1734156778241
6654570,643.2970380256248
6654600,643.4344934471283
6654630,643.5858689600174
6654660,643.7511937927666
6654690,643.9304348486917
6654720,644.1148662706073
6654750,644.2966780146063
6654780,644.4741407583642
6654810,644.646529270323
6654840,644.813485712139
6654870,644.9744341409317
6654900,645.1289479600215
6654930,645.2767934281173
6654960,645.4177764442759
6654990,645.5517499144071
6655020,645.678617016476
6655050,645.7983278840422
6655080,645.9108744250112
6655110,646.0162848866454
6655140,646.1146187063821
6655170,646.2059618163613
6655200,646.2904252435076
6655230,646.3680940902782
